sku;family;categories;maximum_print_size;weight;power_requirements;description-fr_FR-print;description-fr_FR-mobile;description-en_US-print;description-en_US-mobile;description-de_DE-print;description-de_DE-mobile;name;release_date;picture;price
100120;laser_led_printers;laser_led_printers,print_scan_sales,oki;a4-210-x-297-mm-;;;;;"Keep business flowing smoothly with this supremely productive A4 mono printer. Perfect for very small workgroups and personal desktop applications, it produces an impressive 22 ppm with 16MB memory upgradeable to 272MB. Options include network capability, second input tray and multi-purpose feeder for different paper stock, making it a highly flexible and affordable printer for a multitude of printing tasks.\nMono printing is the engine room of a smooth running business, the unsung hero with its head down powering through the workload. \nBusiness demands that we excel in all areas because they all impact together on the productivity of a business. As business specialists, Oki understands this and ensures our printers work the way good businesses work. Synergistically and therefore productively. \nOki mono printers are built to perform with all class-leading attributes working together. They also work efficiently across all other areas that affect productivity. For example, what’s the point of a printer offering more pages per minute if you’re hanging around waiting for a slow processor or having to stop because its small memory keeps on becoming full? Likewise, greater memory and faster processing speed are of little use if you’re constantly refilling a paper tray with limited capacity. \nThe B4250 is perfect for smaller workgroups and personal desktop applications, it produces an impressive 22 ppm with 16MB standard memory upgradeable to 272MB. Options include network capability, second input tray and multi-purpose feeder for different paper stock and less user intervention making it a highly flexible and affordable printer for a multitude of printing tasks. \nIt’s another way of thinking in mono printing.\n•  22 pages per minute print speed  \n•  Less than 6.2 seconds time to first page for instant customer printing  \n•  Low cost consumables reducing the cost of ownership  \n•  Oki Reliability for years of trouble free service.  \n•  Compatible with all Major Operating Systems  \n•  Ideal for Personal desktop or customer facing applications where space is at a premium  \n•  Flexible upgrade options to expand with your business";"OKI B4250 laserprinter 16MB 22ppm 600x1200dpi A4";;;"OKI B4250 NON 16MB 22ppm 600x1200dpi A4";2005-06-27;images/100120.jpg;"422.65 EUR"
100121;laser_led_printers;laser_led_printers,print_scan_sales,oki;a4-210-x-297-mm-;;;;;"It’s a fast, quiet, quality desktop printer for the finance conscious user. \nOffering excellent print and processing speed for your money, the new B4100 is the consummate mono printer for the individual business user. Compact (A4), stylish and robust, it boasts class-leading features including 18 pages per minute (ppm), high 8MB RAM memory and fast first page to print at under 6.2 seconds. Ideal for the Personal Desktop where high quality documents such as report and point of service material are required.\n•  18 Pages per minute print speed  \n•  6.2 seconds to first page for instant customer documents  \n•  Oki reliability for years of trouble-free service  \n•  Low cost consumables reduce the cost of ownership  \n•  Compatible with all major computer operating systems  \n•  Flexible upgrade options for now and in the future  \n•  Ideal for personal desktop where high quality documents such as reports and point-of-service material are required.";"OKI B4100 laserprinter 8MB 18ppm 600x1200dpi A4";;;"OKI B4100 Desktop printer";2005-08-12;images/100121-1864.jpg;"151.99 EUR,91.42 USD"
100131;laser_led_printers;laser_led_printers,print_scan_sales,oki;a4-210-x-297-mm-;;;;;"The C3100 is unique, being the only single pass printer in its class. No other printer delivers this level of performance in colour and mono to the desktop. It means there’s no need to persevere with separate colour and mono printers. There’s also no need to outsource colour printing for those important jobs that demand professional looking results. With the C3100 you can do it all yourself - with ease. \n \nWith fast print speeds of 12ppm (pages per minute) colour, 20ppm mono and low running costs, the C3100 is a superb offer for the individual in business. It prints everything from business cards to 1.2m long banners, assisted by Oki’s unique Template Manager software. Users can also benefit from the ‘Ask Oki’ support service– a button on the print driver screen that takes users straight to an information-packed web site specific to the C3100. \n \nSo not only do you get a reliable printer packed with features, you also get plenty of help to make the most of them.\n•  12ppm colour and 20ppm mono delivered to your desktop  \n•  Windows host-based printing - the PC processes the print job before sending it to the printer  \n•  No compromise on quality - automatic colour balance technology ensures consistent colour through the product life  \n•  No compromise on quality - single pass digital technology ensures high quality printing and high speed  \n•  No compromise on reliability - flat paper path allows printing on media up to 203gsm paper weight and up to 1.2 metres long  \n•  300 sheet paper tray plus 100 sheet multi purpose tray for low user intervention  \n•  Ask Oki enables you to maximise your printer's potential";"Oki C3100 Colour Led Printer";;;"OKI C3100 NON 32MB 20ppm 600x1200dpi A4";2005-07-15;images/100131-4218.jpg;"383.24 EUR,830.98 USD"
100133;laser_led_printers;laser_led_printers,print_scan_sales,oki;a4-210-x-297-mm-;;;"Imprimante monochrome - La Solution idéale pour les groupes de travail à très forte production documentaire.\n- 34 pages par minute\n- Connexion réseau en standard\n- Processeur 350 MHz\n- 1200 dpi x 1200 dpi réels\n- Capacité papier - Minimum 700 feuilles, maximum 1800 feuilles\n- Evolutivité via de nombreuses pour accompagner votre développement et suivre vos besoins dans le temps\n- Reception face dessus en standard\n\nTraditionnellement, pour choisir une imprimante, l'acheteur devait sélectionner des avantages spécifiques comme la meilleure qualité d'impression, le temps de sortie de la première page, ou le nombre de pages par minute. Aujourd'hui, les entreprises exigent une approche mieux intégrée, plus holistique. Elles attendent que nous excellions dans tous les domaines techniques parce qu'ils ont tous un impact sur l'efficacité de leurs activités.\nPar exemple, une imprimante annonçant un nombre de pages par minute élevé n'est pas réellement efficace si vous devez attendre par la faute d'un processeur trop lent, ou si sa mémoire trop faible se sature rapidement et vous impose des attentes. De même, une mémoire importante ou un processeur rapide n'est pas très utile si vous devez constamment remplir un bac d'alimentation limité. L'optimisation du rendement dépend aussi d'un équilibre entre tous les avantages principaux d'un équipement. Il est donc nécessaire qu'ils travaillent en synergie.\nDotée de toute la souplesse et des options de la B6200, et avec des atouts supplémentaires, cette superbe imprimante monochrome A4 accepte tous les travaux d'impression les plus complexes avec une efficacité sans faille. Solution idéale pour les groupes de travail à très forte production documentaire, ce modèle offre la connectivité réseau en standard, une mémoire standard importante de 128 Mo (extensible à 640 Mo), une fréquence de processeur hautes performances pour garantir une exécution rapide des documents quelle que soit leur taille. Réellement, à 34 pages par minute, la B6300n offre un rendement stupéfiant pour son prix. La compatibilité PostScript est intégrée en standard pour produire des images d'une netteté photographique, vous permettant d'être précis dans les moindres détails. Avec la B6300n vous pourrez traiter des taches aussi variées que des de publipostage, de manuels, ou des rapports annuels. Pour offrir une gestion papier encore plus souple, la B6300dn est dotée en standard de la fonction d'impression recto-verso.";"B6300n - 1200 x 1200 dpi, 34 A4 ppm, 350MHz, 128MB, IEEE 1284, USB 2.0, RS232C";"Oki has a more holistic view of Mono Printing - why offer faster speed of printing if you do not have the processor power to handle the information on the page? Why worry about first page to print times if you do not have enough memory to complete printing your job? Oki offers class leading printers like the B6300n with impressive speed, processor power, memory, duty cycle, toner capacity, trays and reliability which will improve your business productivity.The B6300n printer delivers a cost-effective solution for all your businees printing requirements for medium to larger workgroups - . The fast time to first page makes the printer ideal for heavy duty customer-facing applications or larger workgroups where time at the printer needs to be minimised. The B6300n offers a number of productivity enhancing features including optimal paper handling. For instance, the Offset Catch Tray option separates each print job from the next, allowing easy recovery of individual users’ output in the workplace. The additional paper trays offer large capacity storage of multiple paper types and envelopes which speeds up mailshots or mail merges. \nOki’s stringent quality and design standards together with the capability to print up to 150,000 pages per month ensure uninterrupted reliability. That means busy workgroups can be assured of continuous, consistent output no matter how hard the B6300n is working. There are many features on the B6300n printer that contribute to the machine’s efficiency and larger workgroup productivity, yet all this functionality comes at a very competitive price, making the B6300n the best ever value in serious workgroup printers.\n•  34 pages per minute  \n•  Network Capability as standard  \n•  350Mhz Processor  \n•  1200dpi x 1200dpi for quality business documents  \n•  Input capability - minimum 700 pages maximum 1800 pages.  \n•  Upgradeable options which offer full flexibility and allows your investment to grow with your business printing needs.  \n•  Face up tray as standard";"OKI B6300n network laserprinter 128MB 34ppm 1200x1200dpi A4";"Der „Workaholic“ für hoch ausgelastete Abteilungen.\n- Druckgeschwindigkeit: 34 Seiten pro Minute\n- Zeit bis zum ersten Druck: 8,8 Sekunden\n- Auflösung: 1.200 x 1.200 dpi\n- Papierformate: A4, A5, B5(JIS), Letter, Legal 13, Legal 14, Executive\n- Papierfassungsvermögen: 400 - max. 1.800 Blatt\n- Druckersprachen: PCL6, PCL5e, Adobe PostScript 3, SIDN (EPSON FX), PDF 1.3\n- Schnittstellen (je nach Modell): USB 2.0, 10/100-TX Ethernet, Parallele Schnittstelle (IEEE 1284 Bidirektional), Serielle Schnittstelle (RS232c)\n\nDer OKI B6300 ist wie geschaffen für Arbeitsgruppen mitbesonders hohem Druckaufkommen. Dank seines großen Standardspeichers von 128 MB (bis auf 640 MB erweiterbar) und der superschnellen Prozessorgeschwindigkeit garantiert er eine extrem schnelle Druckabwicklung - mit Netzwerkkarte als Standard als OKI B6300n und dazu kompatibel mit allen gängigen Betriebssystemen. Mit 34 Seiten pro Minute Druckgeschwindigkeit, echtem Adobe Post-Script und gestochen scharfem Druckbild bietet er ein überlegenes Preis-Leistungs-Verhältnis. Die Duplexfähigkeit (Standard beim OKI B6300dn) sorgt dafür, dass Ihre Druckaufträge noch flexibler und professioneller gestaltet werden können.";"B6300n - 1200 x 1200 dpi, 34 A4 ppm, 350MHz, 128MB, IEEE 1284, USB 2.0, RS232C";"OKI B6300n";2005-06-27;;"36.79 EUR,910.66 USD"
100136;laser_led_printers;laser_led_printers,print_scan_sales,oki;a4-210-x-297-mm-;;;;;"Oki has a more holistic view of Mono Printing - why offer faster speed of printing if you do not have the processor power to handle the information on the page? Why worry about first page to print times if you do not have enough memory to complete printing your job? Oki offers class leading printers like the B6200 with impressive speed, processor power, memory, duty cycle, toner capacity, trays and reliability which will improve your business productivity. \n \nSpeed, Versatility,flexibility and Reliability - these are the qualities that productive professionals in busy workgroups tell us they must have in a printer. And that’s what the B6200 printer deliver for small to medium workgroups - a cost-effective solution for all their printing requirements. The fast time to first page makes the printer ideal for heavy duty customer-facing applications or medium workgroups where time at the printer needs to be minimised. The B6200 offers a number of productivity enhancing features including optimal paper handling. The additional paper trays offer large capacity storage of multiple paper types and envelopes which speeds up mailshots or mail merges. \nOki’s stringent quality and design standards together with the capability to print up to 75,000 pages per month ensure uninterrupted reliability. That means busy workgroups can be assured of continuous, consistent output no matter how hard the B6200 is working. There are many features on the B6200 printer that contribute to the machine’s efficiency and workgroup productivity, yet all this functionality comes at a very competitive price, making the B6200 the best ever value in serious workgroup printers.\n•  24 pages per minute  \n•  128mb Memory  \n•  266mhz Processor  \n•  True 1200dpi x 1200dpi for sharp, crisp business documents  \n•  Standard input 400 maximum 1500 sheets.  \n•  Flexibility to choose your options (network, duplex, memory, HDD, Offset Tray, Face-up tray)";"OKI B6200 laserprinter 128MB 24ppm 1200x1200dpi A4";;;"OKI B6200 NON 128MB 24ppm 1200x1200dpi A4";2005-08-12;;"494.33 USD"
100145;laser_led_printers;laser_led_printers,print_scan_sales,oki;a4-210-x-297-mm-;;;;;"The new C5400n and 5400dn are part of Oki’s new and enhanced C5000 Series – the new series offers reduced running costs, increased print speeds, and a whole host of additional features.   \n\n\n\nWith built-in networking, the new C5400 allows workgroups to print both colour and mono documents quickly, easily and very affordably. It delivers an impressive 16ppm (pages per minute) colour and 24ppm mono without compromise on print quality or cost per copy \n\n\n\nThe C5400n is also PostScript compatible so that it can easily handle all commonly used graphics files such as PDFs and Mac files. What’s more, the Template Manager software supplied with the printer allows you to quickly and confidently create a range of impressive documents - from 1.2 m long banners to business cards. Your results will look as professional as today’s business world demands. And if you ever need advice on getting the most out of your printer then just ‘Ask Oki’. You’ll find the ‘Ask Oki’ button on your printer’s driver screen; it will take you straight to a dedicated web site specific to your C5400n.\n•  16ppm fast colour and 24ppm mono in a stylish and compact footprint  \n•  Ask Oki enables you to maximise your printer's potential  \n•  Template Manager makes printing business cards and banners simple and error free  \n•  Powerful 400MHZ processor and 64MB RAM as standard (128MB RAM on C5400dn)  \n•  Standard networking capability for shared use  \n•  Automatic colour balance technology ensures consistent colour through the product life  \n•  Flat paper path allows printing on media up to 203gsm paper weight and up to 1.2 metres long";"OKI C5400n network colorlaser printer PCL 5c-6 PostScript 3 64MB 16ppm mono";;;"OKI C5400n NON 64MB 24ppm 600x1200dpi A4";2005-08-12;images/100145-7662.jpg;"975.42 EUR,55.48 USD"
100155;laser_led_printers;laser_led_printers,print_scan_sales,oki;a4-210-x-297-mm-;;;;;"The new C5200n is part of Oki’s new and enhanced C5000 Series – the new series offers reduced running costs, increased print speeds, and a whole host of additional features.   \n\n\n\nWith built-in networking, the new C5200n allows workgroups to print both colour and mono documents on one compact machine, quickly, easily and very affordably. It delivers an impressive 16ppm (pages per minute) colour and 24ppm mono without compromise on print quality or cost per copy.  \n\n\n\nAnd because the new C5200n is from Oki, you don’t just get a great colour and mono printer packed with user friendly features, you also get plenty of help to make the most of them. The Template Manager software supplied with the printer allows you to quickly and confidently create a range of impressive documents - from 1.2 m long banners to business cards. Your results will look as professional as today’s business world demands. And if you ever need advice on getting the most out of your printer then just ‘Ask Oki’. You’ll find the ‘Ask Oki’ button on your printer’s driver screen; it will take you straight to a dedicated web site specific to your C5200n.\n•  16ppm fast colour and 24ppm mono in a stylish and compact footprint  \n•  Ask Oki enables you to discover more possibilities with your C5200n  \n•  Template Manager makes printing business cards or banners simple and error free  \n•  Windows host-based printing - The PC processes the print job before sending it to the printer  \n•  Standard networking capability for shared use  \n•  Automatic colour balance technology ensures consistent colour through the product life  \n•  Flat paper path allows printing on media up to 203gsm paper weight and up to 1.2 metres long";"OKI C5200n network colorlaser printer 32MB 16ppm mono 1200x600 dpi A4 USB 2.0";;;"OKI C5200n NON 32MB 24ppm 600x1200dpi A4";2005-07-15;images/100155-39.jpg;"300.9 USD"
1002181;laser_led_printers;laser_led_printers,print_scan_sales,lexmark;a3-297-x-420-mm-;;;;;"The Lexmark C935dtn colour laser is the ideal high-power workhorse for busy enterprises with wide-format needs. It produces brilliant colour output and offers a wide range of possibilities, including duplex printing and advanced finishing options. Addition features include 512MB of standard RAM, a storage cabinet and a second input drawer to run diverse media or boost your total input capacity.\n\n<B>Lexmark and the art of colour</B>\n\n- Lexmark’s industry-leading technology is allowing more and more enterprises to produce their own colour documents in-house. Print off a couple pages from the Lexmark C935dtn and it’s easy to see why! It uses Lexmark’s newly enhanced colour toner, which boasts one of the largest colour gamuts in the industry. What ever you’re printing, you’ll benefit from crisp text, rich flesh tones and consistent images every time – from first page to last!\n\n<B>Powerful, high-end printing</B>\n\n- With its robust and reliable new design, the C935dtn offers you all the power and performance you need to reach your true potential. It races through print runs as fast as 45 ppm in mono and 40 ppm in colour, which means less time spent hanging out at the printer. Maintenance and operation is a breeze for anyone, thanks to the intuitive operator panel and easy, front-loading consumables. Top it all off with the most cutting-edge security features and you’ve got a true productivity workhorse.\n\n<B>Colour costs that YOU control</B>\n\n- Great quality and performance doesn’t have to mean heavy costs. In addition to its competitive cost per page, the C935dtn arms you with the most complete range of colour-cost-control tools in the market. Among others, this includes colour print permission via user ID, plus multiple toner-saver levels that can save you toner. There’s even a coverage estimator, which can be configured to show your end-users the cost of a colour page before they launch a large print job.\n\n<B>Flexibility from start to finish!</B>\n\n- When it comes to versatility, the possibilities of the C935dtn are practically endless. For even greater flexibility, you can opt for finishing. And in addition to stapling and hole-punch, the C935dtn offers booklet finishing, which is ideal for creating your own eye-catching catalogues or newsletters in-house.\n\n<B>Lexmark’s guarantee to you</B>\n\n- At Lexmark, we’re always working hard to ensure you achieve maximum productivity and minimum downtime. Our C935dtn colour laser printer includes our solid service guarantee of 1-year On Site Repair, with a response time of next business day (in serviceable areas). For an even greater level of peace of mind, you can opt for one of our extended-guarantee service offerings. For more information on any of these offerings, just contact your local dealer or visit us today at www.lexmark.co.uk.\n\n<B>Cost saving & environmental features</B>\n\n- Energy Star compliant\n- Print and hold (verify print), multi-up printing, quality printing on recycled paper and duplex printing help reducing paper consumption\n- Selectable toner-saving modes help reducing the amount of toner used\n- Extra High yield and Return Programme cartridges, plus end-of-life product management help reducing landfill";"A3 colour laser printer, 45 ppm mono, 40 ppm colour, Duplex and network-ready, 512 MB, 1,140-sheet input";;;"Lexmark C935dtn";2007-08-09;images/1002181-9683.jpg;"217.07 EUR,171.13 USD"
1002300;laser_led_printers;laser_led_printers,print_scan_sales,lexmark;;;;;;"<b>More Room to Impress</b>\nAn outstanding value for a network-ready laser with great speed (up to 35 ppm, 6 seconds to first page), more than ample 850 sheets of standard input capacity, and versatile paper-handling. Security-minded and optional wireless too.\n \n<b>Top Performance You Can Tailor</b>\nA powerful 400MHz processor and standard 64MB RAM (expandable up to 576MB) for fast printing. Easily tailored with an array of paper input/output options. Ethernet is standard, or choose optional wireless connectivity. Unique application solutions available for PDF, IPDS, bar code, PRESCRIBE or encrypted data printing.\n \n<b>Peace of Mind Security</b>\nHard disk* data encryption for print job data security and printing restriction, plus confidential printing personal ID, lockout, job expiration, and more. (*Requires hard disk option.)\n \n<b>So Easy to Use</b>\nIntuitive operator panel with “Show Me” graphics to assist users, as well as a convenient Direct USB port on the operator panel for easy direct printing of PDF files.\n \n<b>Get More with Lexmark Services</b>\nLexmark offers flexible and scalable services to protect your investment—including customer support with technical support, extended warranty options, fleet management and professional services. See Related Links to learn more.";"T640tn - 1200 x 1200 DPI, 33ppm, 64 MB, Laser, 20200 g";;;"Lexmark T640tn";2007-08-09;images/1002300-5515.jpg;"800.89 EUR,81.3 USD"
1002311;laser_led_printers;laser_led_printers,print_scan_sales,lexmark;;;;;;"Lexmark T640n. Maximum resolution: 2400 x 2400, Print technology: Laser. ISO A-series sizes (A0...A9): A4, A5, Standard tray media types: Envelopes, Labels, Plain paper, Transparencies, Non-ISO print media sizes: executive, folio, legal, letter, statement. Supported network protocols (IPv4): TCP/IP IPv4, IPX/SPX, AppleTalk, LexLink, TCP/IP IPv6. Dimensions (WxDxH): 421 x 498 x 345, Package dimensions (WxDxH): 518 x 591 x 451";"Lexmark T640n, 2400 x 2400, Laser, A4, A5, Envelopes, Labels, Plain paper, Transparencies, executive, folio, legal, letter, statement, TCP/IP IPv4, IPX/SPX, AppleTalk, LexLink, TCP/IP IPv6";;;"Lexmark T640n";2007-08-09;images/1002311-3210.jpg;"649.18 EUR,433.15 USD"
