sku;family;categories;display_diagonal;weight;power_requirements;description-fr_FR-print;description-fr_FR-mobile;description-en_US-print;description-en_US-mobile;description-de_DE-print;description-de_DE-mobile;name;release_date;picture;price;vendor
10055902;led_tvs;led_tvs,tvs_projectors_sales,philips;"37 INCH";;;"Élus meilleurs téléviseurs LCD des 10 dernières années par l'EISA, les modèles de la série 9000 innovent en termes d'image et de connectivité. Les technologies Perfect Pixel HD Engine et LED vous garantissent des images parfaitement réalistes, tandis que les fonctions Ambilight et 3D Max donnent vie à vos films.";"Des performances primées Ambilight sur 3 côtés pour une qualité d'image optimale";"<b>Award winning performance</b>\n\n<b>3 sided Ambilight and best picture quality</b>\n\nAwarded Best LCD TV by EISA for the last 10 years, the 9000 series brings innovation in picture and connectivity. Perfect Pixel HD Engine and LED give you the most true to life images. Ambilight and 3D Max bring movies to life.\n\n<b>Intensify your viewing experience</b>\n- Ambilight Spectra 3-sided intensifies the viewing experience\n- 3D Max for a truly immersive Full HD 3D experience\n\n<b>Award winning picture and sound performance</b>\n- Full HD TV and Perfect Pixel HD Engine for unrivaled clarity\n- Brilliant LED images with incredible contrast\n- 800Hz Perfect Motion Rate (PMR) for superb motion sharpness\n- Perfect Natural Motion for ultra smooth Full HD movies\n- 40W SoundStage for dynamic powerful sound in a ultra slim TV\n\n<b>Enjoy the online world with Smart TV</b>\n- A wealth of online apps, videos to rent and catch-up TV\n- Control the TV with your smart phone, tablet or keyboard\n- With DLNA, enjoy photos, music and movies on your TV\n- Find, schedule, record & pause TV\n- Integrated Wi-Fi to use Net TV apps and SimplyShare wireless";"37'' LCD LED, Full HD 3D, 1920 x 1080, 0.5ms, DVB-T/C, 40W RMS, DLNA, CI+, HDMI, USB, Ethernet-LAN, Wi-Fi";;;"Philips 37PFL9606H";2011-07-31;images/10055902-Philips.jpg;"537.7 EUR,272.62 USD";philips
10065807;led_tvs;led_tvs,tvs_projectors_sales,philips;"40 INCH";;;"Très compacts, les téléviseurs de la série 8000 associent les technologies primées Perfect Pixel HD Engine, Ambilight et 3D Max pour une expérience cinématographique véritablement immersive. Vivez et partagez cette expérience avec Smart TV, qui fait de votre salon le cœur d'un univers en ligne.";"Raffinement et performances avec Ambilight et Smart TV";"Refined living, pure performance with Ambilight and Smart TV\n\nThe thin 8000 series LED TV combines the award winning Perfect Pixel HD engine, Ambilight and 3D Max for a truly immersive movie experience. Share & enrich this experience as Smart TV puts your living room in the center of the online world.\n\nIntensify your viewing experience\n\n- Ambilight Spectra 2 sided intensifies the experience\n- 3D Max for a truly immersive Full HD 3D experience\n\nBreathtaking perfect pictures and Sound\n\n- Full HDTV and Perfect Pixel HD Engine for unrivalled clarity\n- Brilliant LED images with low power consumption\n- 800Hz Perfect Motion Rate (PMR) for superb motion sharpness\n- 28W SoundStage for dynamic powerful sound in a ultra slim TV\n\nEnjoy the online world with Smart TV\n\n- A wealth of online apps, videos to rent and catch-up TV\n- Control the TV with your smart phone, tablet or keyboard\n- Enjoy photos, music and movies from any device on your TV\n- Record or pause your program easily\n- Integrated Wi-Fi to use Net TV apps and SimplyShare wireless";"101.6 cm (40 "") , 1920 x 1080p, 450 cd/m2, 16:9, DCR 500000:1, 1 ms, 4 x HDMI, 2 x USB, 1 x SCART, 1 x RJ-45, 1 x YPbPr, 1 x RGB/CVBS, 1 x VGA, SD Card, CI+, Headphone, IEC75, 3D Max, RMS 2 x 14W, Wi-Fi, VESA 300 x 200";;;"Philips 40PFL8606H";2011-08-02;images/10065807-Philips.jpg;"562.76 EUR,462.94 USD";philips
10065808;led_tvs;led_tvs,tvs_projectors_sales,philips;"46 INCH";;;"Très compacts, les téléviseurs de la série 8000 associent les technologies primées Perfect Pixel HD Engine, Ambilight et 3D Max pour une expérience cinématographique véritablement immersive. Vivez et partagez cette expérience avec Smart TV, qui fait de votre salon le cœur d'un univers en ligne.";"Raffinement et performances avec Ambilight et Smart TV";"Refined living, pure performance with Ambilight and Smart TV\n\nThe thin 8000 series LED TV combines the award winning Perfect Pixel HD engine, Ambilight and 3D Max for a truly immersive movie experience. Share & enrich this experience as Smart TV puts your living room in the center of the online world.\n\nIntensify your viewing experience\n\n- Ambilight Spectra 2 sided intensifies the experience\n- 3D Max for a truly immersive Full HD 3D experience\n\nBreathtaking perfect pictures and Sound\n\n- Full HDTV and Perfect Pixel HD Engine for unrivalled clarity\n- Brilliant LED images with low power consumption\n- 800Hz Perfect Motion Rate (PMR) for superb motion sharpness\n- 28W SoundStage for dynamic powerful sound in a ultra slim TV\n\nEnjoy the online world with Smart TV\n\n- A wealth of online apps, videos to rent and catch-up TV\n- Control the TV with your smart phone, tablet or keyboard\n- Enjoy photos, music and movies from any device on your TV\n- Record or pause your program easily\n- Integrated Wi-Fi to use Net TV apps and SimplyShare wireless";"116.84 cm (46 "") , 1920 x 1080p, 450 cd/m2, 16:9, DCR 500000:1, 1 ms, 4 x HDMI, 2 x USB, 1 x SCART, 1 x RJ-45, 1 x YPbPr, 1 x RGB/CVBS, 1 x VGA, SD Card, CI+, Headphone, IEC75, 3D Max, RMS 2 x 14W, Wi-Fi, VESA 300 x 200";"Der flache LED-Fernseher der 8000er Serie sorgt mit einer Kombination aus preisgekröntem Perfect Pixel HD Engine, Ambilight und 3D Max für ein wahrhaft beeindruckendes Filmerlebnis. Teilen und erweitern Sie diese Erfahrung, indem Smart TV Ihr Wohnzimmer in das Zentrum der Online-Welt rückt.";"Stilvolle Eleganz und optimale Leistung mit Ambilight und Smart TV";"Philips 46PFL8606H";2011-08-02;images/10065808-Philips.jpg;"412.38 EUR,989.01 USD";philips
10065809;led_tvs;led_tvs,tvs_projectors_sales,philips;"46 INCH";;;"Élus meilleurs téléviseurs LCD des 10 dernières années par l'EISA, les modèles de la série 9000 innovent en termes d'image et de connectivité. Les technologies Perfect Pixel HD Engine et LED Pro vous garantissent des images parfaitement réalistes, tandis que les fonctions Ambilight et 3D Max donnent vie à vos films.";"46PFL9706H/12 - 46"" Full HD 3D Max 1920x1080p, 16:9, 500 cd/m², 150000000:1, 0.5 ms, 1200 Hz, DVB-T/C";"Awarded Best LCD TV by EISA for the last 10 years, the 9000 series brings innovation in picture and connectivity. Perfect Pixel HD Engine and LED Pro give you the most true to life images. Ambilight and 3D Max bring movies to life.";"Award winning performance 3 sided Ambilight and best picture quality";;;"Philips 46PFL9706H";2011-08-02;images/10065809-Philips.jpg;"977.1 EUR,299.45 USD";philips
10065810;led_tvs;led_tvs,tvs_projectors_sales,philips;"52 INCH";;;"Élus meilleurs téléviseurs LCD des 10 dernières années par l'EISA, les modèles de la série 9000 innovent en termes d'image et de connectivité. Les technologies Perfect Pixel HD Engine et LED Pro vous garantissent des images parfaitement réalistes, tandis que les fonctions Ambilight et 3D Max donnent vie à vos films.";"Des performances primées Ambilight sur 3 côtés pour une qualité d'image optimale";"<b>Award winning performance</b>\n\n3 sided Ambilight and best picture quality\n\nAwarded Best LCD TV by EISA for the last 10 years, the 9000 series brings innovation in picture and connectivity. Perfect Pixel HD Engine and LED Pro give you the most true to life images. Ambilight and 3D Max bring movies to life.\n\nIntensify your viewing experience\n\n- Ambilight Spectra XL, a new Ambilight for more immersion\n- 3D Max for a truly immersive Full HD 3D experience\n\nAward winning picture and sound performance\n\n- Full HDTV and Perfect Pixel HD Engine for unrivalled clarity\n- LED Pro for the world's most vivid 3D images\n- 1000Hz Perfect Motion Rate (PMR) for superb motion sharpness\n- Perfect Natural Motion for ultra smooth Full HD movies\n- 40W SoundStage for dynamic powerful sound in a ultra slim TV\n\nEnjoy the online world with Smart TV\n\n- A wealth of online apps, videos to rent and catch-up TV\n- Control the TV with your smart phone, tablet or keyboard\n- Enjoy photos, music and movies from any device on your TV\n- Record or pause your program easily\n- Integrated Wi-Fi to use Net TV apps and SimplyShare wireless";"132.08 cm (52 "") , 1920 x 1080p, 500 cd/m2, 16:9, DCR 5000000:1, 0.5 ms, 4 x HDMI, 2 x USB, 1 x SCART, 1 x RJ-45, 1 x YPbPr, 1 x RGB/CVBS, 1 x VGA, SD Card, CI+, Headphone, IEC75, 3D Max, RMS 2 x 20 W, VESA 300 x 200, Wi-Fi";"Die 9000er Serie, seit 10 Jahren ungeschlagener Titelverteidiger der EISA-Auszeichnung als bester LCD-Fernseher des Jahres, bietet innovative Bildtechnologie und Konnektivität. Dank Perfect Pixel HD Engine und LED Pro erhalten Sie naturgetreue Bilder. Ambilight und 3D Max erwecken Filme zum Leben.";"Preisgekrönte Leistung 3-seitiges Ambilight und beste Bildqualität";"Philips 52PFL9606H";2011-08-02;images/10065810-Philips.jpg;"889.49 USD";philips
10484071;led_tvs;led_tvs,tvs_projectors_sales,toshiba;"26 INCH";;;;;"Witness High Definition viewing quality and the benefits of LED technology. The 26"" EL is a LED TV that delivers High Definition resolution with amazing colours, brightness and clarity assured via revolutionary LED technology all in a thin, space-saving design.\n\nAlong with the reassurance of Toshiba quality and great affordability, the EL also includes built-in Freeview digital TV with 7 day electronic programme guide, video, photo and audio playback via USB and preset game and movie viewing modes. Multiple HDMI inputs and PC input make it easy to connect to other digital\n\n<b>High Definition (HD) ready</b>\nSupports High Definition 720p resolution. A HD ready TV will be able to display High Definition images from any High Definition source.\n\n<b>View images, video and audio via USB</b>\nUSB connectivity provides an easy way to playback your compatible videos, music and photos directly via your TV.\n\n<b>2x HDMI and PC input</b>\nHDMI connectivity makes it easy to connect to Blu-ray and DVD players, gaming consoles and many other devices via a single cable. PC input allows connection to laptop or PC so your TV doubles as a PC monitor.\n\n<b>LED technology</b>\nAn advanced backlighting system that guarantees new levels of picture clarity by constantly adapting to the images on the screen. Colours are made more vibrant and contrast between light and dark is more pronounced, providing dramatically improved performance, whilst overall energy consumption and the thickness of the TV is also reduced. Response times are also quicker so fast moving image quality is improved.\n\n<b>7 day electronic programme guide</b>\nIncludes a built-in electronic programme guide showing the digital TV programmes scheduled over the next 7 days.\n\n<b>Digital Approved Product</b>\nAllows a TV to receive free-to-view digital broadcasts through its standard aerial with no need for an additional digital decoder box.";"26EL833B, 66.04 cm (26 "") LED, 1366x768, 16:9, 400cd/m2, 8ms, 3000000:1, DVB-T/C, NTSC, black";;;"Toshiba 26EL833B LED TV";2011-08-03;images/10484071-9851.jpg;"404.52 EUR,833.44 USD";toshiba
10484757;led_tvs;led_tvs,tvs_projectors_sales,toshiba;"46 INCH";;;;;"Full HD 3D PRO-LED TV – Innovation in design, technology and total performance.\n<ul>\n<li>CEVO Engine next generation picture processing</li>\n<li>3D TV with 2D to 3D image upscaling</li>\n<li>PRO-LED local dimming technology</li>\n</ul>";;;;"Toshiba 46YL863B LED TV";2011-08-03;images/10484757-159.jpg;"97 EUR,304.23 USD";toshiba
10485060;led_tvs;led_tvs,tvs_projectors_sales,toshiba;"55 INCH";;;;;"Full HD 3D PRO-LED TV – Innovation in design, technology and total performance.\n<ul>\n<li>CEVO Engine next generation picture processing</li>\n<li>3D TV with 2D to 3D image upscaling</li>\n<li>PRO-LED local dimming technology</li>\n</ul>";;"<b>CEVO ENGINE</b>\nDie CEVO ENGINE ist eine speziell für den Einsatz in Fernsehern ausgelegte Multi-Prozessor-Plattform. Durch dieses Konzept können mehrere Rechenkerne für die unterschiedlichen Aufgaben und Funktionen eines TVs eingesetzt werden. Dies ermöglicht einmalige Funktionen und einen großen Sprung in der Qualität.\n\n<b>PRO LED 32</b>\nFernseher mit Pro LED 32 verfügen über 32 unabhängig voneinander steuerbare Zonen in der Hintergrundbeleuchtung. So können im gleichen Bild sehr helle und sehr dunkle Bereiche gleichzeitig angezeigt werden, was zu einem erhöhten Kontrastverhältnis und besseren Schwarzwerten führt.\n\n<b>ACTIVE-SHUTTER-TECHNOLOGIE</b>\nDamit der Mensch einen 3D-Film sehen kann, müssen die unterschiedlichen Perspektiven jeweils das entsprechende Auge erreichen. Dafür sorgt die active Shutter-Brille FPT-AG01G.\n\n<b>AUTO CALIBRATION</b>\nToshiba-TVs mit Auto Calibration lassen sich mit einem USB-Sensor perfekt kalibrieren, sprich alle Bildparameter (Helligkeit, Kontrast, Farbwerte, Graustufen, Gamma) werden anhand der Sensordaten automatisch eingestellt.\n\n<b>Toshiba Places</b>\nToshiba Places – die besten Internet-Inhalte auf Knopfdruck.";"55WL863B, 139.7 cm (55 "") , 1920 x 1080, 450 cd/m2, DCR 7000000:1, 16:9, 4ms, 3D, DVB-C/DVB-T/DVB-T2/DVB-S/DVB-S2, NTSC/PAL/SECAM, 4 x HDMI v1.4, Component, Composite, 1 x SCART, 2 x USB, PC In, LAN, WLAN, WPS";"Toshiba 55WL863B LED TV";2011-08-03;images/10485060-4713.jpg;"339.62 EUR,13.58 USD";toshiba
10485061;led_tvs;led_tvs,tvs_projectors_sales,toshiba;"55 INCH";;;;;"Full HD 3D PRO-LED TV – Innovation in design, technology and total performance.\n<ul>\n<li>CEVO Engine next generation picture processing</li>\n<li>3D TV with 2D to 3D image upscaling</li>\n<li>PRO-LED local dimming technology</li>\n</ul>";;;;"Toshiba 55YL863B LED TV";2011-08-03;images/10485061-8629.jpg;"957.96 EUR,820.26 USD";toshiba
10598185;led_tvs;led_tvs,tvs_projectors_sales,salora;"19 INCH";;;;;"Salora 19LED7005TD. HD type: HD-Ready, Display resolution: 1366 x 768, Aspect ratio: 16:9. Tuner type: Digital, Digital signal format system: DVB-T. RMS rated power: 2.5. HDMI version: 1.3. Optical disc player type: DVD player, Disc types supported: CD, CD-R, CD-RW, DVD, DVD-R, DVD-RW";"Salora 19LED7005TD, HD-Ready, 1366 x 768, 16:9, Digital, DVB-T, 2.5";;;"Salora 19LED7005TD LED TV";2011-08-09;images/10598185-5817.jpg;"702.81 EUR,491.06 USD";salora
