sku;family;categories;weight;power_requirements;description-fr_FR-print;description-fr_FR-mobile;description-en_US-print;description-en_US-mobile;description-de_DE-print;description-de_DE-mobile;name;release_date;price
10584825;mp3_players;mp3_players,audio_video_sales,sony;;;;;"Sony NWZ-S764BT, Walkman. Player media type: flash-media. Display: TFT, Display resolution: 320 x 240. Audio formats supported: AAC, LPCM, MP3, WMA, Video formats supported: H.264, MPEG4, WMV9, Image formats supported: JPG. Headphone connectivity: 3.5 mm. Supported radio bands: FM";"Sony NWZ-S764BT Walkman, flash-media, TFT, 320 x 240, AAC, LPCM, MP3, WMA, H.264, MPEG4, WMV9, JPG";;;"Sony Walkman NWZ-S764BT";2011-08-03;"298.27 USD"
10584826;mp3_players;mp3_players,audio_video_sales,sony;;;"WALKMAN® portable ultra-léger offrant un meilleur maintien, conçu spécialement pour faire du sport<br/>\n<br/>Portable et sans fil: Léger, fiable et confortable pour une liberté total de mouvement - fini les enchevêtrements de câbles.<br/>\nRésistant à l'eau* et lavable**: Parfait pour le sport, emportez votre WALKMAN® avec vous à la salle de gym ou pendant le jogging (même sous la pluie) et nettoyez-le après utilisation.<br/>\nDesign compact ultra- léger: La série W260 est 25 % plus légère et un tiers plus compacte, avec un excellent maintien pour les personnes sportives et actives.<br/>\nZAPPIN™: Recherchez aisément le morceau de votre choix, écoutez vos listes de lecture et retrouvez vos titres préférés.<br/>\nTransférez de la musique vers votre WALKMAN®: Glissez-déposez des fichiers avec l'explorateur Windows, synchronisez avec Windows Media® Player ou exportez vos morceaux iTunes® (à l'exception d'iTunes®-DRM).<br/>\nRecharge rapide: Branchez votre WALKMAN® pendant 3 minutes pour 60 minutes de lecture. Une charge complète (de 90 minutes) vous offre jusqu'à 8 heures d'autonomie.<br/>\nMémoire de 2 Go: Idéal pour les personnes actives, stockez environ 500 morceaux grâce à la mémoire intégrée.<br/>\nEcouteurs de 13,5 mm (série EX): Puissance et confort d'écoute maximal, grand choix de tailles d'oreillettes pour une utilisation durable.<br/>\nLecture de listes d'écoute: Classez vos morceaux favoris, transférez-les sur votre WALKMAN® et appréciez pleinement votre musique - votre WALKMAN® fonctionne tout seul pendant vos exercices.<br/>\nMolette multifonctions pour une commande aisée: La molette innovante permet de parcourir aisément les dossiers de musique.<br/>\nStockage intelligent: Fourni avec un chargeur (et un câble USB) ainsi qu'avec une pochette pour protéger le lecteur et évite les interférences magnétiques.<br/>\n*: Ce produit n'a pas été conçu pour être immergé dans l'eau ou en contact prolongé avec l'humidité (classe de protection IPx5).<br/>\n**: Lavez le produit à la main (pression basse). N'utilisez pas de brosse, d'éponge, de savon ni de détergent..<br/>\n";"2 Go, charge rapide, 8 h d'écoute, ZAPPIN™, écouteurs 13,5 mm de la série EX";"<b>NWZ-W262 2GB Walkman® Wearable MP3 player</b>\n<b>Lighter, closer fitting wearable Walkman® specialised for sports</b>\n\n- Wearable and wire free - Lightweight, secure and comfortable fit, for total freedom on the move - and no more stress from tangled wires\n- Water-resistant* and washable** - Perfect for sports use, wear your Walkman® at the gym or out running (even in the rain) and wash it after exercise\n- Compact, lighter design - The W260 series is 25% lighter, and a third more compact - with closer fitting for sports and active use\n- ZAPPIN™ - Easily search for the perfect song, listen back to playlists and skip through music folders to find your favourites\n- Fill your Walkman® - Drag and drop with Windows Explorer, sync with Windows Media® Player or export iTunes (excludes iTunes-DRM)\n- Quick Charge - Plug in your Walkman® for 3 minutes and get 60 minutes playback. A full charge (90 minutes) gives you up to 8 hours listening time\n- 2GB memory - Ideal for an active lifestyle, store nearly 500 tracks thanks to the built-in memory\n- 13.5mm EX Series headphones - Clear and powerful sound with extreme comfort, plus a choice of earbud sizes for long-lasting wearability\n- Playlist playback - Put your favourite music in your favourite order, transfer to Walkman®, then enjoy - no need to operate your Walkman® while exercising\n- Easy operation jog lever - Using the innovative jog lever, skip through music folders in one fluid movement";"2 GB, USB, MP3/WMA/AAC, 32 g, Black";"- Leichterer, enger sitzender tragbarer WALKMAN® speziell für den Sport\n- Tragbar, ohne Kabel - Leicht, sicher und bequem tragbar für absolute Freiheit unterwegs und ganz ohne störende Kabel\n- Wasserabweisend* und waschbar** - Ideal beim Sport im Fitnessstudio oder beim Laufen (sogar im Regen); nach dem Training waschbar\n- Kompaktes, leichteres Design - Die W260-Serie ist 25 % leichter und um ein Drittel kompakter ' sitzt enger für den Einsatz bei sportlichen und anderen Aktivitäten\n- ZAPPIN' - Suchen Sie einfach nach einem Song, geben Sie Playlisten wieder, und überspringen Sie Ordner bei der Suche nach Ihren Favoriten\n- Musikübertragung auf den WALKMAN® - Drag & Drop mit Windows Explorer, Synchronisieren mit Windows Media® Player und Exportieren von iTunes Musiktiteln (ausgenommen iTunes-DRM)\n- Schnellladefunktion - WALKMAN® 3 Minuten lang einstecken für 60 Minuten Wiedergabe. Bei Komplettladung (90 Minuten) bis zu 8 Stunden Musikwiedergabe\n- 2 GB Speicherplatz - Ideal für einen aktiven Lifestyle: der integrierte Speicher bietet Platz für ca. 500 Titel\n- 13,5-mm-Kopfhörer der EX-Serie - Klarer und voller Sound, gepaart mit hervorragendem Tragekomfort dank einer Auswahl unterschiedlich großer Ohrhörer\n- Wiedergabe von Playlisten - Sortieren Sie Ihre Lieblingsmusik nach Ihren Vorstellungen, und übertragen Sie sie zur Wiedergabe auf Ihren WALKMAN®. So müssen Sie während des Trainings nichts verändern\n- Jog Lever für leichte Bedienung - Mithilfe des innovativen Jog Levers können Sie Ihre Musikordner ganz einfach durchsuchen.\n- Raffinierte Speichermöglichkeiten - Ausgestattet mit einer Ladestation (und USB-Kabel) sowie einem Halter, der den Player schützt und magnetische Streuung verhindert";"2 GB, USB, MP3/WMA/AAC, 32 g, Schwarz";"Sony Walkman NWZ-W262";2011-08-03;
10584885;mp3_players;mp3_players,audio_video_sales,ricatech;;;;;"<b>RC1600</b>\n\nEnjoy everything modern technology has to offer with the brand new, shiny RC1600. It has a built-in camera, Photo and video capture mode and offcourse this fully featured new gadget plays your favorite MP3 and WMA tracks. The casing is made out of aluminum with a oval bent shape and a luxurious glossy finish in four trendy colors.";"RC1600, 5.08 cm (2 "") , TFT, WMA/MP3/WAV/AVI/BMP, FM, VGA, 4GB, USB 2.0, silver";;;"Ricatech RC1600";2011-08-03;"654.22 EUR,720.21 USD"
10722165;mp3_players;mp3_players,audio_video_sales,samsung;;;;;"<b>Play On-the-Go with Wi-Fi</b>\n\nEasily connect via Wi-Fi without any monthly service fees. The Samsung Galaxy Player can access the internet and apps anywhere there is an available hotspot. The sleek, lightweight 6.42 oz. design fits in any pocket and the brilliant 5” LCD delivers incredible viewing quality.\n\n<b>Live the Apps Lifestyle to the Fullest</b>\n\nGet instant access to your favorite content. Enjoy music and movies, play games and browse the web, or create your own pictures and video. Plus, you can video chat with the front-facing camera. Need to stay connected with your social circle? No problem. Your Galaxy Player allows you to stay updated through email, Qik Video, Facebook®, and Twitter™. Being social has never been easier!\n\n<b>Powered by Android™</b>\n\nThe Samsung Galaxy Player features Gingerbread, Google’s Android 2.3.5 platform, bringing you great performance and speed for browsing Adobe® Flash® Player compatible websites. Fully integrated with services like Google Maps™ and YouTube™ you can search, view, and easily download any of the over 250,000 apps available in Android Market.\n\n<b>Cameras Coming and Going</b>\n\nThe Galaxy Player makes creating and sharing images and video fast and portable with its two cameras. The rear-facing 3.2-megapixel camera with flash captures images and video that can be edited and shared. The front-facing camera is ideal for video chat.";"Galaxy Player 4.0, Android 2.3.5, 10.16 cm (4 "") LCD 800 x 480 multi-touch, 8GB, microSD, 3.2MP rear + front camera, FM, GPS, USB 2.0, Bluetooth 3.0, Wi-Fi 802.11b/g/n, 121 g";;;"Samsung Galaxy Player 4.0 YP-G1CWY";2011-08-26;"682.96 EUR,273.59 USD"
10722166;mp3_players;mp3_players,audio_video_sales,samsung;;;;;"<b>Play On-the-Go with Wi-Fi</b>\n\nEasily connect via Wi-Fi without any monthly service fees. The Samsung Galaxy Player can access the internet and apps anywhere there is an available hotspot. The sleek, lightweight 6.42 oz. design fits in any pocket and the brilliant 5” LCD delivers incredible viewing quality.\n\n<b>Live the Apps Lifestyle to the Fullest</b>\n\nGet instant access to your favorite content. Enjoy music and movies, play games and browse the web, or create your own pictures and video. Plus, you can video chat with the front-facing camera. Need to stay connected with your social circle? No problem. Your Galaxy Player allows you to stay updated through email, Qik Video, Facebook®, and Twitter™. Being social has never been easier!\n\n<b>Powered by Android™</b>\n\nThe Samsung Galaxy Player features Gingerbread, Google’s Android 2.3.5 platform, bringing you great performance and speed for browsing Adobe® Flash® Player compatible websites. Fully integrated with services like Google Maps™ and YouTube™ you can search, view, and easily download any of the over 250,000 apps available in Android Market.\n\n<b>Cameras Coming and Going</b>\n\nThe Galaxy Player makes creating and sharing images and video fast and portable with its two cameras. The rear-facing 3.2-megapixel camera with flash captures images and video that can be edited and shared. The front-facing camera is ideal for video chat.";"Galaxy Player 5.0, Android 2.3.5, 12.7 cm (5 "") LCD 800 x 480 multi-touch, 8GB, microSD, 3.2MP rear + front camera, FM, GPS, USB 2.0, Bluetooth 3.0, Wi-Fi 802.11b/g/n, 182 g";;;"Samsung GALAXY Player 5.0";2011-08-26;"869.31 EUR,154.39 USD"
10727015;mp3_players;mp3_players,audio_video_sales,lenco;;"3.7 V";"- Mémoire interne 4 GB\n- Formats audio: MP3, WMA\n- Batterie rechargeable intégrée\n- Capacité de la batterie environ 6-7 heures en mode MP3";"Lecteur MP3/WMA / mémoire 4GB";"- 4 GB built-in memory\n- Supports: MP3 and WMA music\n- USB 2.0 connection\n- Built-in rechargeable battery\n- 3,5mm headphone connection\n- Frequency range from the earphones: 20-20.000Hz\n- Impedance from the earphones: 32 Ohm\n- When fully charged: playtime approx. 6-7 hours\n- Supports Windows Windows 2000 / XP / Vista / 7 or MAC OS 9.2 or above\n- Available in 5 different colors (orange, green, pink, purple and grey).";"XEMIO-253, 4GB, 3.5mm, USB 2.0";;;"Lenco XEMIO-253";2011-08-26;"954.5 USD"
10727017;mp3_players;mp3_players,audio_video_sales,lenco;;;;;"- 4,5 cm (1,8”) TFT screen\n- Built-in 4 GB flash memory\n- Supports: MP3 and WMA\n- Supports video in AMV format\n- Supports photos in JPG, BMP and GIF format\n- Multi language OSD\n- USB 2.0 connection\n- 3,5mm earphone jack\n- Supports Windows 98/ME/2000/XP/Vista\n- Repeat (A/B) function\n- ID3 tag\n- Micro SD card slot up to 8 GB (not included)\n- Voice recording\n- Built-in Li-Polymer Battery\n- When fully charged: playtime approx. 3,5 hours videoplay, 8 hours Musicplaya.";"XEMIO-655, 4GB, MP3, WMA, AMV, USB";;;"Lenco XEMIO-655";2011-08-26;"204.6 EUR,320.93 USD"
10727018;mp3_players;mp3_players,audio_video_sales,lenco;;;;;"- 4,5 cm (1,8”) TFT screen\n- Built-in 4 GB flash memory\n- Supports: MP3 and WMA\n- Supports video in AMV format\n- Supports photos in JPG, BMP and GIF format\n- Multi language OSD\n- USB 2.0 connection\n- 3,5mm earphone jack\n- Supports Windows 98/ME/2000/XP/Vista\n- Repeat (A/B) function\n- ID3 tag\n- Micro SD card slot up to 8 GB (not included)\n- Voice recording\n- Built-in Li-Polymer Battery\n- When fully charged: playtime approx. 3,5 hours videoplay, 8 hours Musicplay.";"XEMIO-655, 4GB, MP3, WMA, AMV, USB";;;"Lenco XEMIO-655GRY MP3 player & recorder";2011-08-26;"983.76 EUR,3.44 USD"
10727019;mp3_players;mp3_players,audio_video_sales,lenco;;;;;"- 4,5 cm (1,8”) TFT screen\n- Built-in 4 GB flash memory\n- Supports: MP3 and WMA\n- Supports video in AMV format\n- Supports photos in JPG, BMP and GIF format\n- Multi language OSD\n- USB 2.0 connection\n- 3,5mm earphone jack\n- Supports Windows 98/ME/2000/XP/Vista\n- Repeat (A/B) function\n- ID3 tag\n- Micro SD card slot up to 8 GB (not included)\n- Voice recording\n- Built-in Li-Polymer Battery\n- When fully charged: playtime approx. 3,5 hours videoplay, 8 hours Musicplay";"XEMIO-655, 4GB, MP3, WMA, AMV, USB";;;"Lenco XEMIO-655";2011-08-26;"951.43 EUR"
10727027;mp3_players;mp3_players,audio_video_sales,lenco;;;;;"- 7,7cm (3”) TFT LCD touchscreen\n- 8 GB memory\n- Supports: MP3, WAV en WMA\n- Supports video in AVI, MP4, FLV, DAT, 3GP, WMV, RM, RMVB format\n- Supports photos in JPG, BMP and GIF format\n- E-book function (support TXT files)\n- Multiple OSD languages\n- mini-USB 2.0 connection\n- 3,5mm earphone jack\n- Supports Windows 98/ME/2000/XP/Vista\n- Repeat (A/B) function\n- ID3 tag\n- Micro SD cardslot for SD cards up to 8GB\n- When fully charged: playtime approx. 3 hours videoplay, 7 hours Musicplay\n- Voice recording\n- Built-in Lithium Battery.";"XEMIO-965, 7.62 cm (3 "") , TFT, LCD, 8GB, Mini-USB 2.0";;;"Lenco XEMIO-965";2011-08-26;"451.77 EUR,583.57 USD"
