sku;family;categories;color_scanning;maximum_print_size;multifunctional_functions;weight;power_requirements;description-fr_FR-print;description-fr_FR-mobile;description-en_US-print;description-en_US-mobile;description-de_DE-print;description-de_DE-mobile;name;release_date
1002239;multifunctionals;multifunctionals,lexmark;;a4-210-x-297-mm-;n;;;;;Compact, affordable and very easy to use, the Lexmark X632s brings all the benefits of multifunction printing to small workgroups with A4 mono needs. It integrates seamlessly into your existing network environment and offers a wide range of options, including advanced finishing and an extended warranty of up to four years! \n--------------------------------------------------------------------------------\nAffordable multifunction A4 monochrome laser\n\n--------------------------------------------------------------------------------\nConsolidated printing, copying, faxing and colour scanning\n\n--------------------------------------------------------------------------------\nRapid 40 pages per minute for printing and copying\n\n--------------------------------------------------------------------------------\nLess than 8.5 seconds warm-up time to first printed page\n\n--------------------------------------------------------------------------------\n300 MHz RISC processor and standard 65 MB of memory\n\n--------------------------------------------------------------------------------\nNetwork-ready with 10/100 Ethernet adapter\n\n--------------------------------------------------------------------------------\nEfficient document transmission via LDAP support\n\n--------------------------------------------------------------------------------\nEnhanced data security and authentication features\n\n--------------------------------------------------------------------------------\nMarkVision Professional software to simplify network management\n\n--------------------------------------------------------------------------------\nWide range of advanced finishing options\n\n--------------------------------------------------------------------------------\nStandard onsite support and extended warranty options;Lexmark X632s MFP;;;Lexmark X632s MFP;2007-08-09
1002398;multifunctionals;multifunctionals,lexmark;;a4-210-x-297-mm-;n;;;;;An A4 multifunction device that evolves with you, Lexmark’s X634e offers enhanced security features, total ease of use and a major boost in productivity. Thanks to its intuitive colour touch-screen interface, users can operate it easily with little training. And it’s equipped with PostScript and PCL emulation to keep workflow soaring like never before! \n--------------------------------------------------------------------------------\nHigh-performance multifunction A4 monochrome laser\n\n--------------------------------------------------------------------------------\nIntuitive colour touch-screen interface for hassle-free operation\n\n--------------------------------------------------------------------------------\nLightning-fast 45 pages per minute for printing and copying\n\n--------------------------------------------------------------------------------\nPostScript and PCL emulation to optimise performance\n\n--------------------------------------------------------------------------------\nEnhanced data security and authentication features\n\n--------------------------------------------------------------------------------\nEfficient document transmission via LDAP support\n\n--------------------------------------------------------------------------------\nNetwork-ready with 10/100 Ethernet adapter\n\n--------------------------------------------------------------------------------\n“Zero Configuration” and advanced network management tools\n\n--------------------------------------------------------------------------------\nWide range of flexible finishing options\n\n--------------------------------------------------------------------------------\nStandard onsite support and extended warranties available;Lexmark X634e MFP;;;Lexmark X634e MFP;2007-08-09
10055985;multifunctionals;multifunctionals,brother;;a4-letter-216-x-297-mm-;copy,fax,print,scan;;;<b>Une solution 4-en-1 complète, performante et respectueuse de l’environnement</b>\nLe MFC-J825DW est l’outil indispensable pour vos travaux personnels et/ou professionnels. Ce multifonction dispose de l’impression recto-verso automatique et aussi de l’impression sur CD/DVD pour parfaire vos CD/DVD. Rapide, vous avez également la possibilité de connecter une clé USB ou un appareil photo numérique grâce au port PictBridge et d’imprimer vos documents et photos sans avoir à allumer un ordinateur. Appréciez la convivialité de ce multifonction grâce à la navigation intuitive avec l’écran LCD couleur tactile de 8,3 cm.;MFC-J825DW - 1200 x 6000 dpi, 35 ppm, 192MHz, TFT LCD, Ethernet, USB 2.0, WLAN;This A4 inkjet all-in-one printer is the perfect choice for a home or small office environment. It provides you with all the professional standards you'd expect from your office equipment, fast quality printing, clear sharp copying, and high quality scanning and faxing, all in one compact machine. And because of its sleek black styling it will look just as good at home as it will in the office. There's no compromise on features, with automatic double-sided printing provided as standard to save time and money and wireless network-ready out of the box so you can share with other users. And because it's one of the most eco-friendly machines on the market you benefit from low power consumption and low noise levels.;MFC-J825DW - 1200 x 6000 dpi, 35 ppm, 192MHz, TFT LCD, Ethernet, USB 2.0, WLAN;<b>Farbdrucker</b>\n- 6-Farbdruckqualität mit nur 4 Patronen dank 1,5 pl Tröpfchen-Technologie.\n- Flüsterleiser Druck durch kapillares Tintensystem.\n- 4 separate Tintenpatronen.\n- Bis zu 12 ISO-Seiten/Min. Druckgeschwindigkeit in S/W.\n- Bis zu 10 ISO-Seiten/Min. Druckgeschwindigkeit in Farbe.\n- Bis zu 35 Seiten/Min. Druckgeschwindigkeit in S/W - Entwurfsmodus.\n- Bis zu 27 Seiten/Min. Druckgeschwindigkeit in Farbe - Entwurfsmodus.\n- Automatischer Duplexdruck inkl. Broschürendruckfunktion.\n- CD-Druck.\n- Integrierte Papierkassette für bis zu 100 Blatt.\n- Integrierte Fotopapierkassette für bis zu 20 Blatt.\n- 100 Jahre lichtechte Fotos mit Fotopapier BP-71.\n- Dokumentenecht drucken nach ISO 11798:2000.\n<b>Farbkopierer</b>\n- 20 Blatt Automatischer Vorlageneinzug (ADF).\n- Kopieren ohne PC.\n- Kopieren über ADF oder Vorlagenglas.\n- 8,3 cm Touchscreen.\n<b>Farbfax</b>\n- Faxen mit und ohne PC.\n- Werbefax-Löschfunktion.\n<b>Farbscanner</b>\n- Scan-to-E-Mail, -Bild, -Text, -Datei, -PDF, -USB-Stick, -Speicherkarte.\n<b>Fotodirektdruck</b>\n- Randloser Fotodruck bis A4.\n- Fotodirektdruck via PictBridge, USB-Stick, Speicherkarte.\n<b>Integrierter LAN-/WLAN-MFC-Server</b>\n- Drucken, Scannen und Faxen im LAN oder WLAN.\n<b>iPrint&Scan</b>\n- Direkt Drucken vom und Scannen zum iPhone, iPad, iPod Touch, Windows Phone sowie zu Android-Geräten.\n- Web Connect.;MFC-J825DW - 4-in-1 Tinten-Multifunktionscenter mit integriertem LAN-/WLAN-MFC-Server, Touchscreen-Display und Duplex- und CD-Druck-Funktion;Brother MFC-J825DW multifunctional;2011-07-31
10057960;multifunctionals;multifunctionals,xerox;;legal-216-x-356-mm-;fax,scan;23.4 KILOGRAM;;;;<b>Xerox® WorkCentre® 3550 Multifunction Printer</b>\nValue-driven performance for your office.\nRaise the productivity bar. the WorkCentre 3550 helps your business optimise productivity with high-speed copy, print and fax capabilities, plus scan features that streamline your work processes.\n\n<b>Step up to higher performance</b>\nThe perfect balance of productivity and easeof-use, the WorkCentre 3550 multifunction printer will help you regain time spent each day on document-related tasks.\n- Setting the pace. Print and copy speeds up to 33 ppm.\n- Plenty of paper. A paper capacity of 550-sheets (expandable to 1,050 sheets).\n- Improve your image. Impactful 1200 image quality printing and vibrant colour scanning.\n- Print from any application. A choice of PostScript® 3™ and PCL® print drivers ensure your output comes out the way you expect.\n- User friendly control panel. An efficient menu layout helps you accomplish routine tasks more quickly.\n- Multi-tasking enabler. now you can effectively accomplish all the tasks your single-function devices used to perform – receive faxes while you are making copies or printing – and save valuable office space.\n\n<b>High-impact features that won’t impact your budget</b>\nthe WorkCentre 3550 is value-packed and capable of handling all your print, copy, scan and fax needs.\n- Duplex Automatic Document Feeder. Gives you convenient, money saving, twosided output across all features.\n- Reduce your document-related costs. Resource-saving features include toner-saver and power-saver modes, and paper-saving n-up printing and ID Card Copy. Plus, the WorkCentre 3550 is ENERGY STAR qualified.\n- Incorporate colour scanning into your workflow. Easily convert hardcopy documents to digital PDF files and send them to your server, email contacts or USB memory device.\n- Say hello to your modern fax machine. Get all the great features of a top fax machine – speed dials, Secure Fax, colour send, and LAn fax, and fax forward to email – plus many workflow enhancing capabilities.\n- Handy front panel USB port. Print from and scan files to your USB memory device.\n\n<b>Designed with your workteam in mind</b>\nWith the WorkCentre 3550, office tasks that used to require multiple manual processes can be accomplished with the touch of a button.\n\nBuilt for the masses. Full support for your choice of operating system platforms, whether it’s Windows, Linux/UnIX or Macintosh.\n- Remote management tools. CentreWare® Internet Services provides real-time monitoring, device setup, viewing of toner and paper levels, plus efficient supplies ordering. Xerox Status Monitor alerts users when an error occurs during printing.\n- Control access to sensitive information. Information security is a universal need for every business. Secure print and secure fax capabilities keep your documents from printing until you’re ready to release them with a unique PIN.\n- Close to your workteam. All the features in one small footprint so that everything is conveniently at hand.\n- Maximise uptime. Just one integrated print cartridge to replace and a high-capacity paper tray.;WorkCentre 3550/XD, Print/Copy/Scan/Fax, Duplex, 33 ppm, 1200x1200dpi, 500sh, A4/LGL, USB 2.0, Fast Ethernet, 600W, 23.4kg, White/Blue;;;Xerox WorkCentre 3550/XD;2011-08-01
10066052;multifunctionals;multifunctionals,lexmark;;legal-216-x-356-mm-;n;;;;;<b>High-Endurance Printing at Its Best</b>\nSimplify high-volume jobs with a fast-thinking powerhouse featuring built-in duplexing, up to 50 ppm print speed, and generous input capacity (650 sheets standard, up to 4,300 sheets with options). Expertly handles a range of media sizes and types, plus offers a rich selection of paper handling and finishing options.\n\n<b>Lexmark T652dn Let It Decide the Best Speed</b>\nIdentifies the size and complexity of your job and automatically calculates the optimal speed—quicker time-to-first-page for short jobs and more pages per minute for longer jobs.\n\n<b>Lexmark T652dn Intelligent Job Waiting</b>\nNo more letting missing media derail hours of print time. The innovative Job Waiting feature will simply hold that job aside, letting others go on working without interruption (requires the hard disk option).\n\n<b>Lexmark T652dn Outstanding Print Quality</b>\nCombines true 1200 x 1200 dpi with automatic darkness adjustment and pixel-boosting technology to ensure high-quality, professional documents every time.\n\n<b>Lexmark T652dn Cutting-Edge Security</b>\nFrom network security to user-access restrictions, you’ll be fully equipped to keep valuable data safe and sound. In addition to IPSec, SNMPv3 and 802.1x network security, the Lexmark T652dn offers an alphanumeric pad for easy PIN authentication, plus encryption and disk wiping to secure the optional hard disk.\n\n<b>Lexmark T652dn Less Work for IT</b>\nNetwork-ready and very easy to set up, plus Universal Driver support for simple deployment. Includes Lexmark MarkVision™ Professional software for time-saving remote management and automated tools.;50 ppm, 1200 x 1200 dpi, 128 MB, 30 dBA, 225000p/m, A4, 10/100BaseTX, USB 2.0;;;Lexmark T652DN;2011-08-02
10066057;multifunctionals;multifunctionals,xerox;;legal-216-x-356-mm-;copy,fax,print,scan;;;;;<b>WorkCentre 6505 Colour Multifunction Printer</b>\nThe right solution for today’s pace of business. Your busy workteam needs a value-packed colour device that gets the job done with the rare combination of outstanding print quality, unparalleled simplicity, and day-in, day-out dependability. Introducing WorkCentre 6505.\n\n<b>The colours your business needs</b>\nWorkCentre 6505 colour multifunction printer give your important documents a powerful, colourful boost.\n- Outstanding print quality. A print resolution of up to 600 x 600 x 4 dpi makes your printed communications stand out and grab attention.\n- True Adobe® PostScript® 3™. Count on consistently precise print jobs with bright, true colours and superior graphics.\n- Advanced toner technology. Xeroxexclusive EA Toner uses particles engineered for uniform size and shape, producing superior image detail and line deﬁnition, and text that’s sharp and clear.\n- Always the right colour. Pantone® Colour approved solid-colour simulations and Xerox colour correction technology ensure results that match your expectations.\n\n<b>Ready to help</b>\nWe designed WorkCentre 6505 as simple colour devices that support single users and small workteams.\n- Print and go. Work quickly with print speeds of up to 23 ppm for colour and black and white.\n- More productivity for more people. Connect and go, thanks to built-in networking and seamless compatibility with mixed-user environments, including PC, Macintosh and Linux.\n- Easy management. With Xerox CentreWare® IS, remote device administration is handled with ease right from your computer’s browser.\n- Out of colour toner? Our Run Black feature lets you continue printing with black until you can replace toner.\n- Total peace of mind. Standard one-year on-site warranty.\n\n<b>Easy on your environment</b>\nWorkCentre 6505 help you meet today’s environmental challenges.\n- Print more, use less. Whether you choose manual two-sided printing or upgrade to convenient automatic duplexing, you’ll conserve paper for reduced costs and lower environmental impact.\n- Toner-only cartridges. With minimal packaging, our toner-only cartridges allow for 80% less waste than comparable colour devices using integrated print cartridges.\n- A perfect ﬁt. Both devices feature a small footprint, which allows for easy integration within your work space, whether on your desk or in a shared location.\n- The quiet partner. Engineered for extraquiet operation to minimise impact on busy ofﬁces.\n- Consolidate and save. The value-packed WorkCentre 6505 multifunction printer will save on energy and supplies costs by combining the functions of multiple devices into one.\n\n<b>Productivity, accelerated</b>\nThe WorkCentre 6505 colour multifunction printer builds on the outstanding print, delivering a host of powerful productivity tools designed to make your daily ofﬁce tasks more efﬁcient than ever.;WorkCentre 6505V/N, C/M/Y/B, 600x600dpi, 23ppm, A4/LGL, Tray/250-sh, ADF/35-sh, Gigabit Ethernet, USB2.0, 256MB RAM, 425W, 29.6kg, Grey/Blue + Scan & Cable Kit (ESP);;;Xerox WorkCentre 6505V/N;2011-08-02
10066068;multifunctionals;multifunctionals,xerox;;a4-210-x-297-mm-;scan;;;;;- Network connectivity standard\n- Automatic two-sided output standard\n- 60-sheet duplex automatic document feeder\n- Standard paper capacity: 550 sheets\n- Maximum paper capacity: 1,050 sheets\n- Built-in convenience stapler standard on 3635MFP/X model\n- Scan destinations: network, email, and USB flash drive\n- Embedded fax and LAN fax standard on 3635MFP/X model\n- 80 GB hard drive standard\n- Windows (including Vista), Mac, Unix, and Linux compatible\n- Maximum duty cycle of 75,000 pages per month.;Phaser 3635MFP, Pagepack, 33ppm, A4 Network Print, Copy, Scan, Fax, 1X500 Sheet Paper Tray, Conv.Stapler, 220V + 117K4554;;;Xerox 3635MFPV/XM;2011-08-02
10066075;multifunctionals;multifunctionals,xerox;;legal-216-x-356-mm-;fax,scan;23.4 KILOGRAM;;;;<b>Competitive Edge - WorkCentre 3550</b>\n- Faster print and copy speed for greater productivity\n- Higher maximum paper capacity for fewer interruptions and less hassle\n- Productive fax features include colour fax send, searchable address book, fax forward to fax, email and server (FTP, SMB), fax reports, broadcast fax, delayed fax, secure fax receive, and 209 group dial entries\n- Scan features include scan to email with LDAP, network scan to PC, scan to FTP and SMB sites, USB memory device, direct scan to applications including optical character recognition\n- 355 mm platen glass allows manual scanning and copying of 216 x 355 mm documents\n- Robust security features include secure print, secure fax, scan to email authentication, SSL, HTTPS, IP filtering, and 802.1x, SNMPv3, IPv6\n- LDAP authentication for simple and secure access restriction\n\n<b>Productivity Features - WorkCentre 3550</b>\n- ID Card Copy feature is a major time-saver for offices that frequently copy small two-sided documents such as insurance cards and drivers licenses\n- PCL™ 6/5e emulations and Postscript™ 3™ support allow you to print any document with confidence\n- Available high-capacity print cartridge and substantial paper capacity keep the WorkCentre 3550 running with fewer interruptions\n- CentreWare™ Internet Services streamlines day-to-day operation by providing real-time monitoring, viewing of toner and paper levels, plus efficient supplies ordering\n- Industry-standard scan file formats include PDF, TIFF, multipage TIFF and JPEG for more document routing possibilities\n- PC fax saves time by allowing paperless faxing right from your desktop\n\n<b>Business-ready Features - WorkCentre 3550</b>\n- Secure Print and Secure Fax keep documents private by holding print jobs in the queue until the user enters the password\n- IEEE 802.1x protocol controls network traffic and ensures security of wired and wireless connections\n- Additional security features such as authentication and IP filtering prevent unauthorized access to the WorkCentre 3550\n- USB direct printing and scanning lets you save to or print from any USB memory device – no computer needed\n- Operating systems supported by the WorkCentre 3550 include Microsoft Windows XP and Vista, Apple Macintosh, and Linux/UNIX\n- A small footprint brings more features closer to users so there’s no need to go beyond the workspace to accomplish routine tasks\n\n<b>Value-added Features - WorkCentre 3550</b>\n- One device gives you the right combination of office tools – print, copy, scan, and fax – at one great price\n- Colour scan and fax tools bring fax and paper documents easily to your network for distribution via email, fax, or through your LDAP address book\n- Network-ready with built-in Ethernet connectivity, remote management tools, and network security\n- Money-saving features include two-sided output, toner-save mode, variable sleep modes, advanced scanning, fax forward to email, and a high-capacity print cartridge make it easy to reduce toner and paper costs\n\n<b>Software Solutions - WorkCentre 3550</b>\n<b>Digitize . . . Organize . . . Distribute . . . Collaborate</b>\nWith digital documents, you can easily create, search, re-use, and build upon your documents. Maximize your hardware investments with innovative software solutions from Xerox and Xerox Business Partners:\n- Contain costs\n- Share knowledge\n- Accelerate workflow\n- Integrate paper and electronic documents\n- Manage and distribute documents effectively;360 MHz Processor, 256MB, 600dpi, 33ppm, 1xRJ45, 1x USB 2.0, Fast Ethernet + PagePack + Telephone Cable;;;Xerox 3550V_XM+117K45450 multifunctional;2011-08-02
10066076;multifunctionals;multifunctionals,xerox;;legal-216-x-356-mm-;fax,scan;23.4 KILOGRAM;;;;<b>Competitive Edge - WorkCentre 3550</b>\n- Faster print and copy speed for greater productivity\n- Higher maximum paper capacity for fewer interruptions and less hassle\n- Productive fax features include colour fax send, searchable address book, fax forward to fax, email and server (FTP, SMB), fax reports, broadcast fax, delayed fax, secure fax receive, and 209 group dial entries\n- Scan features include scan to email with LDAP, network scan to PC, scan to FTP and SMB sites, USB memory device, direct scan to applications including optical character recognition\n- 355 mm platen glass allows manual scanning and copying of 216 x 355 mm documents\n- Robust security features include secure print, secure fax, scan to email authentication, SSL, HTTPS, IP filtering, and 802.1x, SNMPv3, IPv6\n- LDAP authentication for simple and secure access restriction\n\n<b>Productivity Features - WorkCentre 3550</b>\n- ID Card Copy feature is a major time-saver for offices that frequently copy small two-sided documents such as insurance cards and drivers licenses\n- PCL™ 6/5e emulations and Postscript™ 3™ support allow you to print any document with confidence\n- Available high-capacity print cartridge and substantial paper capacity keep the WorkCentre 3550 running with fewer interruptions\n- CentreWare™ Internet Services streamlines day-to-day operation by providing real-time monitoring, viewing of toner and paper levels, plus efficient supplies ordering\n- Industry-standard scan file formats include PDF, TIFF, multipage TIFF and JPEG for more document routing possibilities\n- PC fax saves time by allowing paperless faxing right from your desktop\n\n<b>Business-ready Features - WorkCentre 3550</b>\n- Secure Print and Secure Fax keep documents private by holding print jobs in the queue until the user enters the password\n- IEEE 802.1x protocol controls network traffic and ensures security of wired and wireless connections\n- Additional security features such as authentication and IP filtering prevent unauthorized access to the WorkCentre 3550\n- USB direct printing and scanning lets you save to or print from any USB memory device – no computer needed\n- Operating systems supported by the WorkCentre 3550 include Microsoft Windows XP and Vista, Apple Macintosh, and Linux/UNIX\n- A small footprint brings more features closer to users so there’s no need to go beyond the workspace to accomplish routine tasks\n\n<b>Value-added Features - WorkCentre 3550</b>\n- One device gives you the right combination of office tools – print, copy, scan, and fax – at one great price\n- Colour scan and fax tools bring fax and paper documents easily to your network for distribution via email, fax, or through your LDAP address book\n- Network-ready with built-in Ethernet connectivity, remote management tools, and network security\n- Money-saving features include two-sided output, toner-save mode, variable sleep modes, advanced scanning, fax forward to email, and a high-capacity print cartridge make it easy to reduce toner and paper costs\n\n<b>Software Solutions - WorkCentre 3550</b>\n<b>Digitize . . . Organize . . . Distribute . . . Collaborate</b>\nWith digital documents, you can easily create, search, re-use, and build upon your documents. Maximize your hardware investments with innovative software solutions from Xerox and Xerox Business Partners:\n- Contain costs\n- Share knowledge\n- Accelerate workflow\n- Integrate paper and electronic documents\n- Manage and distribute documents effectively;360 MHz Processor, 256MB, 600dpi, 33ppm, 1xRJ45, 1x USB 2.0, Fast Ethernet + Telephone Cable;;;Xerox 3550V_X+117K45450 multifunctional;2011-08-02
10066079;multifunctionals;multifunctionals,xerox;;a4-letter-216-x-297-mm-;scan;;;;;"- Standard functions\n- WorkCentre 3210: copy, print, color scan, fax\n- WorkCentre 3220: copy, print, color scan, fax, email\n- Speed: up to 24 / 30 ppm\n- First-page-out time as fast as 8.5 seconds (WorkCentre 3220)\n- Maximum paper size: 8.5 x 14 in.\n- Automatic two-sided print and copy output standard on WorkCentre 3220\n- 50-sheet automatic document feeder\n- Paper capacity: 250 sheets, expandable to 500 sheets\n- Print resolution: 600 x 600 dpi (up to 1200 x 1200 enhanced image quality)\n- Network connectivity standard\n- PCL® 6 and PCL 5e standard; (PostScript® 3™ compatibility available on WorkCentre 3220)\n- Scan resolution: up to 4800 x 4800 enhanced dpi\n- Scan destinations: applications, PC network folders, USB flash drive, (email on WorkCentre 3220)\n- Xerox Scan to PC Desktop™ software\n- 33.6 Kbps fax with JBIG compression\n- Maximum duty cycle up to 50,000 pages per month (WorkCentre 3220)\n- Dimensions (w x d x h): 17.5 x 16.2 x 15.6 in. (445.2 x 410.5 x 395.3 mm)\n\n<b>Competitive Edge - WorkCentre 3210/3220</b>\n- Convenience and performance with print, copy, scan, and fax capabilities all in one compact device\n- High productivity right out of the box, to support busy professionals and small workteams with built-in networking and automated setup that helps you get up and running\n- Choose long-lasting high-capacity print cartridges to lower your cost per print and minimize printer intervention\n\n<b>Features that save time - WorkCentre 3210/3220</b>\n- Fast print speeds of up to 24 / 30 ppm and a rapid first-page-out time of less than 8.5 seconds on WorkCentre 3220 deliver your documents in a hurry\n- Concurrent operation means you can quickly scan a file when you need it, even while other jobs are printing\n- No-hassle maintenance with only one customer-replaceable print cartridge\n\n<b>Benefits for small offices - WorkCentre 3210/3220</b>\n- Space-saving design tucks into tight spaces and makes it easy to place within quick reach of a single user or small workgroup\n- User-friendly front panel helps you find your most-needed functions fast with large, easy-to-read buttons and a two-line LCD display\n- Set-up is a snap thanks to simplified network and driver installation";WorkCentre 3220, Copy, Print, Scan, Fax, 28ppm, 1200dpi, 128MB/384MB, Fast Ethernet, USB + Scan And Cable Kit;;;Xerox WorkCentre 3220;2011-08-02
