sku;family;categories;display_diagonal;response_time;display_srgb;display_color;weight;power_requirements;description-fr_FR-print;description-fr_FR-mobile;description-en_US-print;description-en_US-mobile;description-de_DE-print;description-de_DE-mobile;name;release_date;price
102774;pc_monitors;pc_monitors,tvs_projectors_sales,samsung;"19 INCH";25;;;;;;;"Samsung 19IN LCD 910T SIL. Display resolution: 1280 x 1024, Display: LCD, Contrast ratio (typical): 800:1. Certification: TCO'03";"Samsung 19IN LCD 910T SIL, 1280 x 1024, LCD, 800:1, TCO'03";;;"Samsung 19IN LCD 910T SIL";2005-06-27;"273.38 EUR,921.76 USD"
102794;pc_monitors;pc_monitors,tvs_projectors_sales,samsung;"17 INCH";;;;;;;;"In order to enjoy vibrant moving images to the fullest in CDT monitors, the brightness at the levels comparable to that of a TV is required. However, CDT Monitors have limitations when it comes to enhancing brightness due to their inherent characteristics and thus are ill equipped to deliver the ultimate viewing enjoyment of multimedia contents. The new MagicBrightTM models from SAMSUNG not only realizes the brightness of twice that of existing monitors but also provides 3 types of brightness modes that are optimized for each environment. The core technology that allows for such high level of brightness in MagicBrightTM is the High Gamma Electron Gun. This is the latest in cutting-edge electron gun design made to enhance the CDT Monitor brightness in an effective and stable manner by discharging more currents with the same input voltage, thanks to a wide loading area. In addition to this High Gamma Electron Gun technology are SAMSUNG's DynaFlatTM technology and advanced circuit technology that are ahead of time, including Smart III+ phosphor and Super Invar Shadow Mask. These products are superior picture quality and enhanced brightness, such as outstanding color reproduction and impeccable focus / geometry distortion.\n\nMoreover, MagicBrightTM offers three different types of brightness modes optimized for each user's environment. This provides a display solution that can fulfill diverse life styles by going beyond simply enhancing monitor brightness. The user will be able to choose among the three modes in a convenient and efficient manner via a hot key attached on the front side..\n\nEntertain Mode : This is the mode that allows the user to take full advantage of the power and benefits of MagicBrightTM. It delivers the maximum brightness of 330cd/m2 and optimizes color setting so that moving images, games, DVDs, TVs, and HDTVs can be enjoyed at their best .\n\nInternet Mode : This optimized mode provides the maximum brightness of 200cd/?? Still images can be viewed with even more brightness while text is shown sharply and is ideal for Internet surfing.\n\nText Mode : Provides the maximum brightness of 150cd/m2 With impeccable focus and legibility, this mode provides an environment ideal for word processing and spreadsheet work.\n";"43.18 cm (17 "") 1280X1024 SLIMLINE SAMSUNG 710T SILV LCD TCO03 IN (NMS)";;;"Samsung 17IN 1280X1024 SLIMLINE";2005-06-27;"621.94 EUR"
10493290;pc_monitors;pc_monitors,tvs_projectors_sales,acer;"27 INCH";5;;;;;"À la fois fins et larges, les écrans de la série S d’Acer sont parfaits pour les activités multitâches et la navigation sur Internet. Les images haute définition prennent vie grâce à la résolution Full HD et au taux de contraste extrêmement élevé. Vous apprécierez non seulement la qualité des images mais également l’allure élancée et puissante de ces écrans Acer.\n\n<b>Un design compact et ultrafin</b>\nLes écrans de la série S sont conçus pour s’intégrer parfaitement dans votre cadre de vie, qu’il s’agisse de votre domicile ou de votre bureau, d’un lieu public ou d’un comptoir. Ultrafins et ultraélégants, ils profitent d’un design à la fois moderne et simple.\n\n<b>Des technologies respectueuses de l'environnement</b>\nLes écrans de la série S sont conçus avec des matériaux exempts de mercure. La technologie à LED blanche permet de diminuer la consommation d’électricité jusqu’à 68 %, ce qui allège considérablement les frais tout en contribuant à préserver les ressources énergétiques de la planète. Conformes aux exigences ENERGY STAR® 5.0, ils ont été conçus dans le souci du plus grand respect de l’environnement.\n\n<b>Des performances impressionnantes</b>\nGrâce à la résolution Full HD, les jeux sont plus passionnants et les divertissements aux détails précis sont dignes des salles de cinéma. En outre, l’interface HDMI® ou DVI vous permet de raccorder les appareils haute définition les plus récents, tandis que le taux de contraste exceptionnel offre une netteté impressionnante.";"S273HLAbmii, 69cm/27"" Widescreen LCD, 1920 x 1080 16:9 FHD LED, Analog & 2x HDMI, 100000000:1, 5ms, Speakers, ZBD, ECO, Black, ES 5.0";"Acer S Series monitors are very slim yet spacious displays that are great for multitasking and web browsing. High-def visuals leap to life thanks to Full HD resolution and an extremely high contrast ratio. You'll appreciate both the imagery and the look of this streamlined yet powerful Acer monitor!\n\n<b>Ultra-thin, space-saving design</b>\nThe S Series is designed to fit nicely in your living space, be it at home or in a SOHO, public area, or front-desk setting. Ultra-thin and ultra-elegant, the display is built around a sense of simple modernism.\n\n<b>Earth-friendly technologies</b>\nThe S Series uses mercury-free materials and white LED technology for up to 68% lower power consumption, giving you big savings while helping preserve nature's energy resources. By meeting ENERGY STAR® 5.0 requirements, the S Series considers the environment.\n\n<b>Impressive performance</b>\nGames are more exciting and entertainment is truly cinematic with excellent detail courtesy of Full HD resolution. In addition, an HDMI® or DVI interface connects you to the latest high-definition devices, while an astounding contrast ratio delivers fantastic clarity.";"S273HLAbmii, 69cm/27"" Widescreen LCD, 1920 x 1080 16:9 FHD LED, Analog & 2x HDMI, 100000000:1, 5ms, Speakers, ZBD, ECO, Black, ES 5.0";"Die Displays der Serie S sind extraflach, haben jedoch eine große Anzeigefläche und eignen sich daher perfekt für Multitasking und zum Surfen im Web. Die Full HD-Auflösung und das besonders hohe Kontrastverhältnis erwecken High Definition-Bilder förmlich zum Leben. Von diesem leistungsstarken Acer-Display werden Sie begeistert sein, von seiner Darstellungsqualität ebenso wie von seinem attraktiven Look!\n\n<b>Ultraflaches, platzsparendes Design</b>\nDie Modelle der Serie S haben ein Design, mit dem sie sich exzellent in jedes Ambiente einbinden lassen, sei es ein Wohnzimmer, ein Heimbüro, ein öffentlicher Bereich oder ein Schalter. Sie sind ultra-flach, und ultra-elegant mit einer rundum modernen, schlichten Ausstrahlung.\n\n<b>Umweltfreundliche Technologien</b>\nDie Serie S wird mit quecksilberfreien Materialien hergestellt und arbeitet mit LED-Technologie. Diese Technologie senkt den Energiebedarf um bis zu 68%, was Kosten spart und zusätzlich die Umwelt schützt. Die Konformität mit dem Standard ENERGY STAR® 5.0 ist ein weiterer Beweis für die ökologische Nachhaltigkeit.\n\n<b>Beeindruckende Leistung</b>\nDank Full HD-Auflösung sind Spiele spannender und alle Inhalte werden mit präzisen Details auf Kino-Niveau dargestellt. Über den HDMI® oder den DVI Port können Sie die neuesten HD-Geräte anschließen und der unglaubliche Kontrast sorgt für höchste Präzision in der Darstellung.";"S273HLAbmii, 69cm/27"" Widescreen LCD, 1920 x 1080 16:9 FHD LED, Analog & 2x HDMI, 100000000:1, 5ms, Speakers, ZBD, ECO, Black, ES 5.0";"Acer S S273HLAbmii";2011-08-03;"694.11 EUR,530.9 USD"
10592701;pc_monitors;pc_monitors,tvs_projectors_sales,asus;"22 INCH";14;;;"3.1 KILOGRAM";;"<b>Des images d'une qualité supérieure dans un châssis élégant</b>\nDes détails soigneux sont souvent à l'origine d'un moniteur de renom. Le moniteur LED VS229H propose une dalle IPS à rétroéclairage LED, avec affichage Full HD, un taux de contraste de 50 000 000:1 et un port HDMI, et est optimisé pour offrir une précision d'image et une qualité de couleur incroyable. Ces qualités s'ajoutent naturellement à la robustesse et à la finesse du châssis, garantes d'une durée de vie améliorée.\n\n<b>Des images plus réalistes grâce à la technologie LED</b>\n<b>Technologie ASUS Smart Contrast Ratio</b>\nLa technologie ASUS Smart Contrast Ratio (ASCR) porte le rapport de contraste des images à un impressionnant niveau de 50 000 000:1. Laissez-vous éblouir par la qualité des images, plus réalistes et précises, notamment lors de scènes nocturnes.\n\n<b>Des images Full HD grâce au HDMI</b>\nEntrez dans un monde de couleurs spectaculaires grâce au support Full HD 1080p (1920x1080) et au port HDMI.\n\n<b>Un angle de vision de 178°</b>\nLe VS229H propose un angle de vision de 178°, à l'horizontale comme à la verticale, qui évite la modification des couleurs quelle que soit votre position et celle de l'écran.\n\n<b>Fonction Aspect Control</b>\nLa fonction Aspect Control vous permet de choisir entre un affichage Full HD et un affichage 4:3 pour un rendu visuel sans distorsion de l´image ni pertes de données.\n\n<b>Technologie Splendid™ Video Intelligence</b>\nLa technologie exclusive Splendid™ Video Intelligence optimise les performances vidéo et la qualité de fidélité des images en améliorant les niveaux de couleur, de luminosité, de contrate et de précision. Elle propose 6 modes prédéfinis (Paysage, Théâtre, Gaming, Nocturne, sRGB et Standard) qui peuvent être lancés directement avec les touches de raccourcis.\n\n<b>Un design élégant, convivial et moderne</b>\n- Accès aux réglages OSD multilingues par des touches raccourcis.\n- Pied détachable pour permettre une fixation murale.\n- Support mural standard VESA (100 mm x 100 mm).\n- Angle d´inclinaison de 25° (5° vers l´avant, 20° vers l´arrière).\n- Câble de sécurité KENSINGTON.\n\n<b>Service après-vente complet</b>\n- Garantie système de 3 ans.\n- Garantie de la dalle de de 3 ans.\n- Enlèvement sur site gratuit ""pick-up service"" (en fonction des pays).\n\n<b>Protection de la planète</b>\n<b>Des matériaux plus respectueux de l'environnement</b>\n- Panneau à rétroéclairage LED sans mercure.\n- Un emballage composé à 80% de carton recyclé.\n- Un emballage aux dimensions plus fines pour maximiser le nombre de cartons transportés et ainsi réduire les coûts de transports et les émissions de CO2.\n\n<b>Réduction de la consommation d'énergie</b>\n- Economie de 37,2 kWh d'électricité\n- Réduction de CO2 de 23,6 kg, ce qui équivaut à :\n2 arbres plantés.\n2 ans d'oxygène consommé par une famille de 4 personnes.";"VS229H - 21.5"" (1920x1080), 250 cd/m2, 50M:1, 14ms, 16.7M, HDMI , D-Sub, DVI-D, noir";"<b>178° Ultra Wide View Meets Classic Elegant Design</b>\nDelicate touches make a monitor truly great, VS229H Full HD LED monitor, with 50,000,000:1 high contrast ratio and HDMI interface, is optimized for the finest image and color quality. This approach extends to the sturdy stand and slim profile without compromising style in ensuring stability and durability.\nASUS exclusive QuickFit Virtual Scale instantly boosts design efficiency by providing real-size photo and grid on screen.\n\n<b>Superior Image Quality Meets Classic Elegant Design</b>\nDelicate touches make a monitor truly great, VS229H Full HD LED monitor, embedded the wide-viewing-angle IPS panel with 50,000,000:1 high contrast ratio and HDMI interface, is optimized for the finest image and color quality. This approach extends to the sturdy stand and slim profile without compromising style in ensuring stability and durability.\n\n<b>True-to-life Pictures Powered by LED</b>\n<b>50,000,000:1 ASUS Smart Contrast Ratio</b>\nDynamically enhances the display’s contrast by adjusting the luminance\nof the backlight to achieve the darkest black and brightest white – delivering lifelike images.\n\n<b>Full HD with HDMI</b>\nEnter a spectacular world of colors with Full HD 1080p (1920x1080) support and HDMI port.\n\n<b>178˚Ultra Wide Viewing Angle</b>\nVS229H adopts 178˚(H) / 178˚(V) ultra wide viewing angle IPS panel that eliminates color shift on your screen no matter where and how you look at it.\n\n<b>Aspect Control function</b>\nAspect Control function allows users to select a preferred display mode among Full and 4:3 for true-to-life gaming or movie watching without any data loss or image distortion.\n\n<b>QuickFit Virtual Scale</b>\nThe ASUS-exclusive QuickFit built in the monitor provides real-size photo and grid mode on top of the operating windows on the screen. It can activated via a hotkey on monitor and used as a guide to accurately view and edit photos.\n\n<b>Supporting Formats:</b>\n- Photo: 8”x10”, 5”x7”, 4”x6”, 3”x5”, 2”x2”\n- Alignment Grid\n\n<b>Splendid™ Video Intelligence Technology</b>\nThe exclusive Splendid Video Intelligence Technology optimizes video performance and image fidelity by enhancing color, brightness, contrast, and sharpness. 6 preset video modes (Scenery, Theater, Game, Night View, sRGB and Standard) can be selected via a hotkey.\n\n<b>Stylish and User-friendly Design for Modern Sophistication</b>\n- Convenient key controls for functional set-up in the multi-language OSD.\n- Easily detachable base for wall mount.\n- VESA Wall Mount Standard (100 x 100 mm ).\n- 25° ( forward 5°, backwards 20° )Tilting Angle.\n- KENSINGTON Security Lock.\n\n<b>Complete After-Sale Service</b>\n- 3-year system warranty.\n- 3-year panel warranty.\n- Free pick-up service (in specific countries).\n\n<b>Green in Mind</b>\n<b>Greener Materials</b>\n- Mercury-free LED-backlit panel.\n- Corrugated cardboard packaging with at least 80% recycled content.\n- Slim-flat packaging allows more cartons to be fitted per cargo, reducing transportation costs and CO₂ emission.\n\n<b>Energy and Planet Saving</b>\n- 37.2k Wh electricity saving\n- 23.6kg reduction in CO₂emissions, equivalent to:\n1.9 trees planted.\n2 years of oxygen for a family of four.";"VS229H - 21.5"" (1920x1080), 250 cd/m2, 50M:1, 14ms, 16.7M, HDMI , D-Sub, DVI-D, black";;;"ASUS VS229H";2011-08-04;"23.02 USD"
10598463;pc_monitors;pc_monitors,tvs_projectors_sales,philips;"22 INCH";5;1;;;;"<b>Le nec plus ultra en matière d'élégance et de performances</b>\n\nAvec son design fin et élégant et sa base en aluminium très esthétique, le nouveau Moda est une véritable œuvre d'art.\n\n<b>L'élégance élevée au rang d'art</b>\n- Design sophistiqué pour exprimer votre style de vie\n- Base en aluminium moulé sous une forme d'une pureté absolue\n- Superbe finition glossy bicolore\n- Commandes SmartTouch pratiques\n\n<b>La performance élevée au rang d'art</b>\n- Technologie LED pour des images éclatantes\n- SmartContrast 20 000 000:1 pour des détails de noir incroyablement profonds\n- Optimisation SmartImage pour une utilisation facile\n- SmartKolor pour des images profondes et réalistes\n- SmartTxt pour une expérience de lecture optimale\n- Compatible HDMI pour un divertissement 16/9 Full HD\n- Temps de réponse rapide, jusqu'à 2 ms\n\n<b>Soyez un peu plus écolo chaque jour</b>\n- Écran sans mercure respectueux de l'environnement";"21.5'', TFT-LCD, W-LED, 1920 x 1080, 16:9, 250 cd/m2, 5ms/2ms SmartResponse, VGA, 2x HDMI";"<b>LED technology</b>\n\nWhite LED's are solid state devices which light up to full, consistent brightness faster saving startup time. LED's are free from mercury content which allows for eco-friendly recycling and disposal process. LED's allow for better dimming control of LCD backlight, resulting in super high contrast ratio. It also gives superior color reproduction thanks to consistent brightness across the screen.\n\n<b>SmartContrast ratio 20000000:1</b>\n\nYou want the LCD flat display with the highest contrast and most vibrant images. Philips advanced video processing combined with unique extreme dimming and backlight boosting technology results in vibrant images. SmartContrast will increase the contrast with excellent blacklevel and accurate rendition of dark shades and colors. It gives a bright, lifelike picture with high contrast and vibrant colors.\n\n<b>SmartKolor</b>\n\nSmartKolor is a sophisticated color extension technology that is able to enhance visual color range of the display. By boosting RGB gain level of the display, this feature enables you to have rich, vibrant images for experiencing outstanding photos and videos.\n\n<b>SmartTxt</b>\n\nSmartTxt is a sophisticated algorithm that enhances reading of text based application such as PDF documents or ebooks which usually requires more focus and concentration.\n\n<b>HDMI Ready</b>\n\nA HDMI-ready device has all the required hardware to accept High-Definition Multimedia Interface (HDMI) input, high quality digital video and audio signals all transmitted over a single cable from a PC or any number of AV sources including set-top boxes, DVD players and A/V receivers and video cameras.\n\n<b>SmartImage</b>\n\nSmartImage is an exclusive leading edge Philips technology that analyzes the content displayed on your screen and gives you optimized display performance. This user friendly interface allows you to select various modes like Office, Photo, Movie, Game, Economy etc., to fit the application in use. Based on the selection, SmartImage dynamically optimizes the contrast, color saturation and sharpness of images and videos for ultimate display performance. The Economy mode option offers you major power savings. All in real time with the press of a single button!\n\n<b>2ms GtG response time</b>\n\nSmartResponse is a exclusive Philips overdrive technology that when turned on, automatically adjusts response times to specific application requirements like gaming and movies which require faster response times in order to produce judder, time-lag and ghost image free images.";"228C3LHSB, 54.61 cm (21.5 "") (54.6 cm), TFT-LCD, W-LED, 1920 x 1080 @ 60 Hz, 16:9, 250 cd/m2, 1xVGA, 2xHDMI";"<b>Pure Eleganz und hohe Leistung</b>\n\nDas elegante schlanke Design und der moderne Standfuß aus Aluminium machen den neuen Moda zu einem regelrechten Kunstwerk.\n\n<b>Pure Eleganz</b>\n- Anspruchsvolles Design passend für Ihren Lifestyle\n- Standfuß aus Aluminiumdruckguss in klarer Form\n- Erstklassiges zweifarbiges Hochglanzdesign\n- Praktische SmartTouch-Bedienelemente\n\n<b>Hohe Leistung</b>\n- LED-Technologie für brillante Bilder\n- SmartContrast 20.000.000:1 für unglaubliche Details in dunklen Bildszenen\n- Optimiertes SmartImage für einfache Bedienung\n- SmartKolor für satte lebendige Bilder\n- SmartTxt für optimales Lesen\n- HDMI-fähig für Entertainment in 16:9 Full HD\n- Schnelle Reaktionszeit bis zu 2 ms\n\n<b>Täglich etwas Gutes für die Umwelt tun</b>\n- Umweltfreundlicher Monitor ohne Quecksilber";"21.5'', TFT-LCD, W-LED, 1920 x 1080, 16:9, 250 cd/m2, 5ms/2ms SmartResponse, VGA, 2x HDMI";"Philips 228C3LHSB";2011-08-09;"783.2 EUR,925.84 USD"
10598481;pc_monitors;pc_monitors,tvs_projectors_sales,philips;"20 INCH";5;1;;;;"Avec sa base Ergo, son son stéréo, son port USB, son mode de veille 0,1 watt, ainsi que ses fonctions SmartImage et SmartControl, l'écran LED professionnel Philips 201B2 à faible consommation d'énergie dope votre productivité";"Écran ergonomique professionnel pour une meilleure productivité";"<b>Ergonomic business display enhances productivity</b>\n\nWith features like Ergo base, Stereo Audio, USB port, 0.1watt Soft off mode, SmartImage\nand SmartControl, the energy efficient Philips 201B2 Business LED display enhances your\nproductivity\n\n<b>Sustainable Eco-friendly solution</b>\n\n- EPEAT Gold ensures lowest impact on environment\n- Energy Star for energy efficiency and low power consumption\n- SmartPower: Up to 50% power saving\n- 0.1 watt Soft-Off mode\n\n<b>Ergonomic design</b>\n\n- 70mm height adjustment for ideal sitting position\n- Tilt and swivel adjustment for an ideal viewing angle\n\n<b>Outstanding display performance</b>\n\n- LED technology ensures natural colors\n- SmartImage: Optimized user friendly display experience\n\n<b>Great convenience</b>\n\n- Modern Touch controls\n- Built in stereo audio for multimedia experience\n- USB port for convenient peripheral connections";"50.8 cm (20 "") W-LED, 1600 x 900, 16:9, 250 cd/m², 5ms, 1 x VGA, 1 x DVI-D, 1 x USB 2.0, 17W, Black";"Mit Funktionen wie dem Ergo Fuß, Stereo-Audio, einem USB-Anschluss, dem Energiesparmodus mit 0,1 Watt, SmartImage und SmartControl trägt der energieeffiziente Philips 201B2 LED-Monitor zur Steigerung Ihrer Produktivität bei.";"Ergonomisches Display zur Steigerung der Produktivität";"Philips 201BL2CB";2011-08-09;"457.09 USD"
10598512;pc_monitors;pc_monitors,tvs_projectors_sales,philips;"24 INCH";2;1;;;;"Avec son corps fin et élégant et sa base en aluminium très esthétique, le nouveau Moda est une véritable œuvre d'art.\n<b>L'élégance élevée au rang d'art</b>\n- Design sophistiqué pour exprimer votre style de vie\n- Base en aluminium moulé sous une forme d'une pureté absolue\n- Superbe finition glossy bicolore\n- Commandes SmartTouch pratiques\n<b>La performance élevée au rang d'art</b>\n- Technologie LED pour des images éclatantes\n- SmartContrast 20 000 000:1 pour des détails de noir incroyablement profonds\n- Optimisation SmartImage pour une utilisation facile\n- SmartKolor pour des images profondes et vibrantes\n- SmartTxt pour une expérience de lecture optimale\n- Compatible HDMI pour un divertissement 16/9 Full HD\n- Temps de réponse rapide, jusqu'à 2 ms\n<b>Soyez un peu plus écolo chaque jour</b>\n- Écran sans mercure respectueux de l'environnement";"59.944 cm (23.6 "") , W-Led, 1920 x 1080, 2ms, 300cd/m2, 1000:1/20M:1, 16:9, VGA, 2 x HDMI, 3.0kg, Noir/Blanc";"With an elegant slim body and a stylish Aluminum base, the new Moda is a work of art.\n<b>Art of elegance</b>\n- Sophisticated design that expresses your lifestyle\n- Aluminum die-cast base embodies purity of form\n- Superb two tone glossy finish\n- Cool SmartTouch controls\n<b>Art of performance</b>\n- LED technology for brilliant images\n- SmartContrast 20000000:1 for incredible rich black details\n- SmartImage optimized for ease of use\n- SmartKolor for rich vibrant images\n- SmartTxt for a optimized reading experience\n- HDMI-ready for 16:9 Full HD entertainment\n- Fast response time up to 2ms\n<b>Greener everyday</b>\n- Mercury Free eco-friendly display";"59.944 cm (23.6 "") , W-Led, 1920 x 1080, 2ms, 300cd/m2, 1000:1/20M:1, 16:9, VGA, 2 x HDMI, 3.0kg, Black/White";"Das elegante schlanke Design und der moderne Standfuß aus Aluminium machen den neuen Moda zu einem regelrechten Kunstwerk.";"Pure Eleganz und hohe Leistung";"Philips 248C3LHSB";2011-08-09;"40.52 EUR"
106119;pc_monitors;pc_monitors,tvs_projectors_sales,samsung;"17 INCH";25;;;;;;;"Providing exceptional performance, the entry level SM710V TFT monitor from Samsung makes an attractive space saving addition to any reception, shop floor, corporate workspace or home study. Available in two colours this monitor utilises the very latest technology to deliver vibrant, detailed images from a sleek and stylish unit.\n<p>\nImage quality can be perfected quickly, accurately and easily using MagicTune from Samsung. Stored on the desktop this intuitive piece of software enables fine image adjustments, and colour calibration functionality not available via traditional menu systems.\n<p>\nMagicBright provides users with five brightness settings – each designed to optimised different content. The brightness ofthe monitor can now be simply adjusted to Game, Movie, Sports, Internet or Text modes.";"710V 17"" 290cdm2 500:1 25ms 150H120V TCO99 Silver-black";;;"Samsung SM710V 17"" TFT .297 61kHz TCO99 Silver";2005-06-27;"706.99 EUR"
106139;pc_monitors;pc_monitors,tvs_projectors_sales,iiyama;"20 INCH";25;;;;;;;;"IIYAMA MONITOR 20.1INCH TFT";;;"iiyama MONITOR 20.1INCH TFT";2005-06-27;"230.97 EUR,520.78 USD"
10620069;pc_monitors;pc_monitors,tvs_projectors_sales,aoc;"19 INCH";5;;;;"90 - 240 VAC";"Principales caractéristiques de ce modèle : une technologie d’affichage de pointe à rétro-éclairage LED*, d’excellentes performances et un design noir, à la fois classique et indémodable. Avec ses valeurs élevées de contraste et de luminosité et un temps de réponse rapide, le moniteur confère une netteté une fluidité exceptionnelle aux images animées les plus rapides. Cet écran, à texture brossée sur la face arrière et la base, ne mesure qu’1,6 cm à l’endroit le plus mince. Sa grande polyvalence en fait un outil aussi à l’aise au bureau qu’à la maison.";"46.99 cm (18.5 "") , 1366 x 768, 16:9, 250 cd/m², DCR 20000000:1, 5 ms, 1 x D-Sub, 15W";"This model is characterised by the latest display technology with LED backlights, a top performance and a timelessly classic, black design. Due to high contrast and brightness values as well as a quick response time, the monitor renders even the fastest movie sequences fluently and razor-sharp. At its slimmest region, this elegant display, which sports hairline textures on the rear side as well as the base, is just 1.6 cm deep. Thanks to numerous features it is recommended for both office and home.";"46.99 cm (18.5 "") , 1366 x 768, 16:9, 250 cd/m², DCR 20000000:1, 5 ms, 1 x D-Sub, 15 W";"Modernste Technologie mit LED-Backlights, eine starke Performance sowie ein zeitlos klassisches, schwarzes Design kennzeichnen dieses Modell. Aufgrund hoher Kontrast- und Helligkeitswerte sowie einer schnellen Reaktionszeit präsentiert es selbst rasante Bewegtbildsequenzen flüssig und gestochen scharf. Das elegante Display mit haarfeinen Texturen an der Rückseite und an dem runden Sockel ist an seiner „schlanksten“ Stelle gerade einmal 1,6 cm tief. Dank seiner zahlreichen Features empfiehlt es sich sowohl für Büroarbeitsplätze als auch für Zuhause.";"46.99 cm (18.5 "") , 1366 x 768, 16:9, 250 cd/m², DCR 20000000:1, 5 ms, 1 x D-Sub, 15W";"AOC e950Swa";2011-08-11;"713.37 EUR,538.97 USD"
