sku;family;categories;color_scanning;maximum_scan_size;weight;power_requirements;description-fr_FR-print;description-fr_FR-mobile;description-en_US-print;description-en_US-mobile;description-de_DE-print;description-de_DE-mobile;name;release_date;picture;price
1003817;scanners;scanners,print_scan_sales,kodak;1;0;;"100-240 V";;;"<b>Easy on your operators, and your bottom line</b>\n- The award-winning KODAK i600 Series Scanners take scanner performance to the next level with innovations like SurePath paper handling, Perfect Page Scanning, three independent ultrasonic multifeed detection sensors, automatic color detection and much more. All at a price that puts high performance and value within your reach and gives you a competitive edge.\n\n<b>Productivity</b>\n- Our exclusive paper feeding technology easily handles documents of diff erent sizes, weights and types to deliver high productivity. And our advanced image processing delivers consistently high image quality, which reduces the need for rescans.\n\n<b>Versatility</b>\n- KODAK i600 Series Scanners include virtually every feature you’ll need. Color, bitonal and grayscale imaging. Automatic color detection. Electronic color dropout. Pre-scan document imprinting. Fast IEEE-1394 (FIREWIRE) connectivity. Improved ultrasonic multi-feed detection. And more!\n\nIn addition, versatility can be added in with our convenient upgrade path. You can add speed and/or color scanning as your needs change, right on your site!";"I640 Scanner";"<b>Benutzerfreundlich und rentabel</b>\n- Durch Innovationen wie SurePath-Paperhandling, Perfect Page Scanning, drei unabhängige Sensoren für die Ultraschall-Mehrfacheinzugserkennung, die automatische Farberkennung und vieles mehr gehören die preisgekrönten KODAK Scanner der i600 Serie einer neuen, noch leistungsstärkeren Generation an. Und all das zu einem Preis, der Ihnen diese hohe Leistung mit all ihren Vorteilen zugänglich macht und Ihnen hilft, der Konkurrenz eine Nasenlänge voraus zu sein.\n\n<b>Produktivität</b>\n- Der speziell entwickelte Papiereinzug kommt spielend mit unterschiedlichen Dokumentenformaten, -stärken und -arten zurecht. Dadurch erreichen Sie höchste Produktivität beim Scannen. Außerdem sorgt die Bildverarbeitungstechnologie von Kodak Bild für Bild für höchste Qualität - zeitaufwändige Rescans sind daher kaum noch erforderlich.\n\n<b>Flexibilität</b>\n- Die Scanner der KODAK i600 Serie bringen praktisch jede Funktion mit, die Sie brauchen. Bilderfassung in Farbe, Bitonal und Graustufen. Automatische Farberkennung. Elektronisches Color-Dropout. Dokumenten-Imprinting vor dem Scanvorgang. Schneller IEEE-1394 (FIREWIRE)-Anschluss. Verbesserte Ultraschall-Mehrfacheinzugserkennung. Und vieles mehr!\n\nAußerdem hilft Ihnen die modulare Erweiterbarkeit unserer Produkte, wenn Sie zusätzliche Funktionen benötigen. Wenn sich Ihre Anforderungen ändern und Sie mehr Geschwindigkeit und/oder Farb-Scanfunktionalität brauchen, kümmern wir uns darum - direkt bei Ihnen vor Ort!";"I640 Scanner";"Kodak i640";2007-08-09;images/1003817-9467.jpg;"343.17 EUR"
1003974;scanners;scanners,print_scan_sales,kodak;1;0;;;;;"With the ability to handle virtually all your documents, regardless of shape, size or condition, the KODAK i1440 Scanner brings awesome productivity, flexibility, ease of use and enhanced Perfect Page image quality to your tabletop business scanning.\n-Handles all kinds of documents ranging from card stock to onionskin in just about any condition, up to 863 mm (34 in.) long, with speeds up to 75 ppm/150 ipm at 200 dpi\n-Easily auto-feeds even extremely long documents—up to 6.1 m (20 ft.) and beyond!—plus irregularly shaped documents\n-Gives you outstanding image quality with an expanded array of the latest Perfect Page image processing features, including photo extraction, trainable electronic color dropout, segmented black-and-white output, improved color accuracy and much more\n-Easy connectivity and fast image transfer with USB 2.0 interface\n-Smart touch feature allows you to easily scan to file, e-mail, publishing or other desktop applications with just one click\n-Five output options: black-and-white, grayscale or color, plus dual stream simultaneous output—color and black-and-white or grayscale and black-and-white to give your organization the types of images needed to meet a range of business needs such as forms processing, key from image, archiving, regulatory compliance, web presentment and more.";"i1440, 75 pages per minute/150 images per minute at 200 dpi";"Durch die Fähigkeit, Dokumente praktisch jeder Größe, jeder Form und jeden Zustands verarbeiten zu können, bietet der kompakte KODAK i1440 Scanner unglaubliche Produktivität, Flexibilität, Benutzerfreundlichkeit und Perfect Page-Bildqualität für Geschäftsanwendungen.\n-Kann alle Arten von Dokumenten von Karton bis hin zu Durchschlagpapier in praktisch jedem Zustand und bis zu einer Länge von 863 mm verarbeiten – bei einer Geschwindigkeit von bis zu 75 Seiten pro Minute bzw. 150 Bildern pro Minute bei 200 dpi\n-Problemloser automatischer Einzug von extrem langen Dokumenten – bis zu einer Länge von 6,1 m und noch darüber hinaus!Außerdem lassen sich Dokumente mit unregelmäßiger Form scannen\n-Bietet Ihnen herausragende Bildqualität durch zahlreiche neue Perfect Page-Bildverarbeitungsfunktionen – einschließlich Fotoextrahierung, lernfähigem elektronischem Color-Dropout, segmentierter Schwarzweiß-Ausgabe, verbesserter Farbtreue u. v. m.\n-Einfach anzuschließen und schnelle Bildübertragung durch USB 2.0-Schnittstelle\n-Smart Touch-Funktion zur direkten Scanausgabe in Dateien, E-Mails sowie Publishing- oder sonstige Desktop-Anwendungen mit nur einem Klick\n-Fünf Ausgabeoptionen: Schwarzweiß, Graustufen oder Farbe sowie Dual Stream-Ausgabe (Farbe und Schwarzweiß oder Graustufen und Schwarzweiß gleichzeitig). So bekommt Ihr Unternehmen genau die Bilder, die es für die unterschiedlichsten Geschäftsanwendungen benötigt – Formularverarbeitung, manuelle, bildbasierte Dateneingabe, Archivierung, Erfüllung von gesetzlichen Bestimmungen, Web-Darstellung und vieles mehr.";"i1440, 75 pages per minute/150 images per minute at 200 dpi";"Kodak i1440";2007-08-09;images/1003974-1241.jpg;"527.12 EUR,525.38 USD"
1003977;scanners;scanners,print_scan_sales,kodak;1;0;;"100-130 VAC, 50/60 Hz, 7 A; 200-240 VAC, 50/60 Hz, 3.5 A";;;"<b>The KODAK i1860 Scanner gives you optimal productivity, starting with 200 pages per minute of real throughput—not just raw speed.</b>\nIts features and benefits lead to productivity gains all the way through your scanning process. The i1860 is easy to use and durable enough to work through multiple shifts, day after day. And it adds ergonomic correctness to your scanning operation. Add in great value, and the KODAK i1860 is everything you want in a high-speed, high-volume scanner.\n-Perfect Page image processing gives you clear, sharp images automatically and at full speed\n-SurePath paper handling lets you easily scan a wide range of document types and sizes\n-Height-adjustable transport provides a customized scanning position for every operator\n-Color touch screen is easy to use and adjustable for your convenience\n-Patch reading, indexing, image addressing and imprinting make managing documents easy\n-Five output formats for imaging flexibility to meet all your needs\n-Solid construction for durability and reliability through your second—and even third—shift\n-Environmentally friendly: lead-free, Energy Star qualified, mercury-free illumination lamps\n-Three ultrasonic multi-feed detection sensors quickly sense any misfeeds\n-Flexible, 500-sheet feeder capacity optimizes paper handling\n\nThe KODAK i1860 Scanner comes with many built-in features to make your work go faster and smoother, shift after shift.\n-Color touch screen provides operating convenience\n-Ergonomic design lets you raise and lower the scanner transport up to 25 cm (10 in.) for personalized scanning positions and less operator fatigue\n-Front or rear side imprinting, and optional hi-res imprinter accessory, prints key tracking information right on your documents as they’re being scanned\n-Independent adjustable side guides and ultra-lightweight feeder accessory add to ease-of-use\n-Automatic color detection to reduce document prep time and help automate scanning\n-Automatic orientation—based on a document’s content, automatically delivers the scanned image in its proper reading orientation\n-Easy brightness, contrast and color controls to adjust tones, sharpen text and optimize photos\n-Manual feed tray accessory for easy single-sheet feeding";"i1860, Up to 200 pages per minute/800 images per minute";;;"Kodak i1860";2007-08-09;images/1003977-1666.jpg;"188.39 EUR,640.98 USD"
1004083;scanners;scanners,print_scan_sales,kodak;;0;;;;;"The KODAK i1420 Scanner brings speed and agility to your business with the ability to handle documents in virtually any condition or size at up to 60 pages per minute. For ease of use, duplex scanning captures both sides of documents in one pass, and enhanced Perfect Page image processing make your images crisp and clean.\n\nThe KODAK i1420 Scanner gives your business a competitive edge with versatility, ease-of-use and the high-quality images you’d expect from Kodak.\n\nThe capability to scan all kinds of documents \n-Handles everything from onionskin to card stock\n-Scan documents up to 863 mm (34 in.) long—“tethered” A3 and A4 flatbed accessories are available for scanning bound material\n\nEasy-to-use functionality \n-Smart touch feature lets you easily choose the right scanning application to scan documents to e-mail, file, publishing and other desktop applications that support TIFF, JPEG, RTF, PDF and searchable PDF\n-USB 2.0 interface provides fast image transfer\n-Post-scan document imprinter allows you to imprint tracking information directly on the document as it passes through the scanner\n-Delivers speeds up to 60 pages per minute/120 images per minute at 200 dpi \n-Handles up to 7,500 pages per day\n\nNew Perfect Page feature set provides enhanced image quality \n-Background color smoothing removes variations in background color for greater color consistency and reduced file size\n-Improved color accuracy enhances images for truer, more consistent colors\n-Automatic color detection outputs images in color, grayscale or black-and-white based on document content\n-Interactive color output adjustment compensates for variations in printers, displays and lighting conditions by allowing users to adjust brightness, contrast, and color balance\n-Automatic orientation rotates the scanned image correctly for reading based on document content";i1420;"Der KODAK i1420 Scanner bietet Ihrem Unternehmen mehr Geschwindigkeit und Flexibilität, da er Dokumente in praktisch jedem Zustand und jeder Größe mit bis zu 60 Seiten pro Minute scannen kann. Besonders benutzerfreundlich ist die Möglichkeit zum Duplex-Scannen, wodurch Sie beide Seiten eines Dokuments in einem Durchgang scannen können. Außerdem glänzt das Gerät durch eine hervorragende Bildqualität, die durch die weiter verbesserte Perfect Page-Bildverarbeitung erzielt wird.\n\nDer KODAK i1420 Scanner hilft Ihrem Geschäft, die Nase vorn zu behalten, denn er ist unglaublich flexibel einsetzbar, benutzerfreundlich und liefert Ihnen die hohe Bildqualität, die Sie von Kodak erwarten.\n\nDamit scannen Sie alle Arten von Dokumenten \n-Verarbeitung aller Papierarten von Karton bis hin zu Durchschlagpapier\n-Scannt Dokumente bis zu einer Länge von 863 mm - zusätzlich sind kabelgebundene A3- und A4-Flachbetten erhältlich, mit denen gebundene Dokumente gescannt werden können\n\nBenutzerfreundlich \n-Smart Touch-Funktion zur einfachen Auswahl der passenden Scananwendung, um gescannte Dokumente direkt per E-Mail zu versenden, als Datei zu speichern bzw. an Publishing- oder sonstige Desktop-Anwendungen zu übergeben, die die Formate TIFF, JPEG, RTF, PDF und durchsuchbares PDF unterstützen\n-USB 2.0-Schnittstelle für schnelle Bildübertragung\n-Post-Scan-Dokumenten-Imprinter zum direkten Aufdrucken von Protokollierungsinformationen auf Dokumente, wenn diese den Scanner durchlaufen\n-Bis zu 60 Seiten pro Minute bzw. 120 Bilder pro Minute bei 200 dpi \nVerarbeitung von bis zu 7.500 Seiten pro Tag\n\nNeue Perfect Page-Funktionen für noch bessere Bildqualität \n-Glättung der Hintergrundfarbe - Vereinheitlichung der Hintergrundfarbe, um eine höhere Einheitlichkeit der Farbe und kleinere Dateien zu erzielen\n-Verbesserte Farbtreue für bessere Bilder mit echteren, einheitlicheren Farben\n-Automatische Farberkennung zur Ausgabe von Farb-, Graustufen- oder Schwarzweißbildern basierend auf dem Dokumenteninhalt\n-Interaktive Anpassung der Farbausgabe zur Kompensierung von Farbabweichungen bei Druckern, Monitoren und Beleuchtungsbedingungen. Der Benutzer kann Helligkeit, Kontrast und Farbbalance anpassen.\n-Automatische Ausrichtung: Das gescannte Bild wird inhaltsbasiert korrekt gedreht";i1420;"Kodak i1420";2007-08-09;images/1004083-4361.jpg;"805.83 EUR,826.96 USD"
1004114;scanners;scanners,print_scan_sales,kodak;1;0;;;;;"With the ability to handle documents in virtually any size or condition, the KODAK i1410 Scanner brings flexibility, ease of use and enhanced Perfect Page image quality to your tabletop business scanning.\nHandles all kinds of documents ranging from card stock to onionskin in just about any condition, up to 863 mm (34 in.) long, with speeds up to 60 pages per minute (at 200 dpi) \n\n-Gives you outstanding image quality with the latest Perfect Page image processing, including background color smoothing, improved color accuracy, automatic color detection and much more\n-Easy connectivity and fast image transfer with USB 2.0 interface\n-Smart touch feature allows you to easily scan to file, e-mail, publishing or other desktop applications with just one click\n-Five output options: black-and-white, grayscale or color, plus dual stream simultaneous output—color and black-and-white or grayscale and black-and-white to give your organization the types of images needed to meet a range of business needs such as forms processing, key from image, archiving, regulatory compliance, web presentment and more.";"i1410, A3, A4, 60 pages per minute at 200 dpi";"Durch die Fähigkeit, Dokumente praktisch jeder Größe und jeden Zustands verarbeiten zu können, bietet der kompakte KODAK i1410 Scanner Flexibilität, Benutzerfreundlichkeit und Perfect Page-Bildqualität für Geschäftsanwendungen.\n-Kann alle Arten von Dokumenten von Karton bis hin zu Durchschlagpapier in praktisch jedem Zustand und bis zu einer Länge von 863 mm verarbeiten. Und dies mit einer Geschwindigkeit von bis zu 60 Seiten pro Minute (bei 200 dpi). \n-Bietet Ihnen herausragende Bildqualität durch die neueste Perfect Page-Bildverarbeitung – einschließlich Hintergrundfarbglättung, verbesserter Farbtreue, automatischer Farberkennung u. v. m.\n-Einfach anzuschließen und schnelle Bildübertragung durch USB 2.0-Schnittstelle\n-Smart Touch-Funktion zur direkten Scanausgabe in Dateien, E-Mails sowie Publishing- oder sonstige Desktop-Anwendungen mit nur einem Klick\n-Fünf Ausgabeoptionen: Schwarzweiß, Graustufen oder Farbe sowie Dual Stream-Ausgabe (Farbe und Schwarzweiß oder Graustufen und Schwarzweiß gleichzeitig). So bekommt Ihr Unternehmen genau die Bilder, die es für die unterschiedlichsten Geschäftsanwendungen benötigt – Formularverarbeitung, manuelle, bildbasierte Dateneingabe, Archivierung, Erfüllung von gesetzlichen Bestimmungen, Web-Darstellung und vieles mehr.";"i1410, A3, A4, 60 pages per minute at 200 dpi";"Kodak i1410";2007-08-09;images/1004114-4416.jpg;"758.19 EUR,450.32 USD"
1004201;scanners;scanners,print_scan_sales,kodak;;;;;;;"Through the years, Kodak has led the way with an abundance of new products and processes that have made photography simpler, more useful and more enjoyable. Today, the company's work increasingly involves digital technology, combining the power and convenience of electronics with the quality of traditional photography to produce systems that bring levels of utility and fun to the taking, ""making"" and utilization of images.";"Scanner upgrade kit I1840 TO I1860";;;"Kodak Scanner upgrade kit I1840 TO I1860";2007-08-09;images/1004201-4524.jpg;"146.54 EUR,154.36 USD"
1004338;scanners;scanners,print_scan_sales,kodak;;0;;"100-240 V";;;"<b>Easy on your operators, and your bottom line</b>\n- The award-winning KODAK i600 Series Scanners take scanner performance to the next level with innovations like SurePath paper handling, Perfect Page Scanning, three independent ultrasonic multifeed detection sensors, automatic color detection and much more. All at a price that puts high performance and value within your reach and gives you a competitive edge.\n\n<b>Productivity</b>\n- Our exclusive paper feeding technology easily handles documents of diff erent sizes, weights and types to deliver high productivity. And our advanced image processing delivers consistently high image quality, which reduces the need for rescans.\n\n<b>Versatility</b>\n- KODAK i600 Series Scanners include virtually every feature you’ll need. Color, bitonal and grayscale imaging. Automatic color detection. Electronic color dropout. Pre-scan document imprinting. Fast IEEE-1394 (FIREWIRE) connectivity. Improved ultrasonic multi-feed detection. And more!\n\nIn addition, versatility can be added in with our convenient upgrade path. You can add speed and/or color scanning as your needs change, right on your site!";"i610 Scanner";"<b>Benutzerfreundlich und rentabel</b>\n- Durch Innovationen wie SurePath-Paperhandling, Perfect Page Scanning, drei unabhängige Sensoren für die Ultraschall-Mehrfacheinzugserkennung, die automatische Farberkennung und vieles mehr gehören die preisgekrönten KODAK Scanner der i600 Serie einer neuen, noch leistungsstärkeren Generation an. Und all das zu einem Preis, der Ihnen diese hohe Leistung mit all ihren Vorteilen zugänglich macht und Ihnen hilft, der Konkurrenz eine Nasenlänge voraus zu sein.\n\n<b>Produktivität</b>\n- Der speziell entwickelte Papiereinzug kommt spielend mit unterschiedlichen Dokumentenformaten, -stärken und -arten zurecht. Dadurch erreichen Sie höchste Produktivität beim Scannen. Außerdem sorgt die Bildverarbeitungstechnologie von Kodak Bild für Bild für höchste Qualität - zeitaufwändige Rescans sind daher kaum noch erforderlich.\n\n<b>Flexibilität</b>\n- Die Scanner der KODAK i600 Serie bringen praktisch jede Funktion mit, die Sie brauchen. Bilderfassung in Farbe, Bitonal und Graustufen. Automatische Farberkennung. Elektronisches Color-Dropout. Dokumenten-Imprinting vor dem Scanvorgang. Schneller IEEE-1394 (FIREWIRE)-Anschluss. Verbesserte Ultraschall-Mehrfacheinzugserkennung. Und vieles mehr!\n\nAußerdem hilft Ihnen die modulare Erweiterbarkeit unserer Produkte, wenn Sie zusätzliche Funktionen benötigen. Wenn sich Ihre Anforderungen ändern und Sie mehr Geschwindigkeit und/oder Farb-Scanfunktionalität brauchen, kümmern wir uns darum - direkt bei Ihnen vor Ort!";"i610 Scanner";"Kodak i610";2007-08-09;images/1004338-2510.jpg;"259.88 EUR,605.67 USD"
1004402;scanners;scanners,print_scan_sales,kodak;;;;;;;"Through the years, Kodak has led the way with an abundance of new products and processes that have made photography simpler, more useful and more enjoyable. Today, the company's work increasingly involves digital technology, combining the power and convenience of electronics with the quality of traditional photography to produce systems that bring levels of utility and fun to the taking, ""making"" and utilization of images.";"Scanner upgrade kit I620 TO I640";;;"Kodak Scanner upgrade kit I620 TO I640";2007-08-09;images/1004402-3512.jpg;"631.72 USD"
1004410;scanners;scanners,print_scan_sales,kodak;;;;;;;"Through the years, Kodak has led the way with an abundance of new products and processes that have made photography simpler, more useful and more enjoyable. Today, the company's work increasingly involves digital technology, combining the power and convenience of electronics with the quality of traditional photography to produce systems that bring levels of utility and fun to the taking, ""making"" and utilization of images.";"Scanner upgrade kit I610 TO I620";;;"Kodak Scanner upgrade kit I610 TO I620";2007-08-09;images/1004410-899.jpg;"159.11 EUR"
10058001;scanners;scanners,print_scan_sales,canon;;0;"8.4 KILOGRAM";;;;"<b>imageFORMULA High Speed Document Scanner</b>\nWhen accuracy, speed and quality are important, the Canon imageFORMULA CR-190i offers an ideal solution. Advanced features like MICR supported by OCR ensure consistent batch scanning of cheques, vouchers and coupons.\n\n- High-speed scanning: up to 190 cheques per minute.\n- Precise simultaneous reading with MICR and OCR.\n- High-quality imprinting via the 4-line built-in imprinter.\n- Straightforward maintenance and integration.\n- ENERGY STAR and RoHS compliant.\n\n<b>High-speed scanning</b>\nThe imageFORMULA CR-190i has been designed to offer banks and retailers fast, efficient and reliable scanning. With speeds of up to 190 cheques per minute, the CR-190i is ideal for batch scanning, while its ultrasonic double feed detection reduces misreading and omissions. These features will help to increase productivity and efficiency in your back office workflows.\n\n<b>Accurate reading</b>\nMICR supported by OCR ensures a high standard of image reading. 99.9% MICR read accuracy helps prevent costly errors by making sure that cheque data is read first time – before originals are removed from circulation.\n\n<b>High-quality outputs</b>\nFine Text Filtering captures images accurately, even from documents with patterned backgrounds, to ensure best quality.\n\n<b>Versatile performance</b>\nThe CR-190i’s high-volume document feeder accepts up to 250 documents at a time; while its built-in jogger assures continuous jam-free scanning. Compatibility with a wide range of non-cheque documents like envelopes, retail vouchers and marketing coupons makes the CR-190i ideal for busy banking and retail environments.\n\n<b>Flexible imprinting</b>\nA 4-line built-in imprinter for high-quality bitmap images and text gives you a flexible choice of imprinting capabilities. With the activation of the SDK, the CR-190i can dynamically print using MICR results in one motion, therefore improving productivity.\n\n<b>Easy to maintain</b>\nSide opening makes maintenance tasks like cartridge changes, paper jams and cleaning simple to accomplish. Simultaneous driver and firmware updates reduce the time required for routine maintenance; while a useful logging tool helps you troubleshoot issues quickly and accurately – keeping downtime to a minimum.\n\n<b>Simple to integrate</b>\nThe bundled Canon Scanning Utility application offers scanning, file saving and image viewing. For maximum flexibility, CR-190i supports three types of SDK, while Silver Bullet Technology’s Ranger Transport API software allows the CR-190i to be easily integrated with new or existing systems.\n\n<b>Environmentally positive</b>\nThe CR-190i meets RoHS Directive requirements, while ENERGY STAR compliance helps you fulfil your CSR and energy reduction objectives.";"imageFormula CR-190i, CMOS CIS, 1200dpi, RGB LED, Duplex, 190 cpm, 64 - 157g/m², USB 2.0, 52.8 W, 8400 g, Black/White";;;"Canon imageFormula CR-190i";2011-08-01;images/10058001-4972.jpg;"347.98 EUR,100.49 USD"
10642350;scanners;scanners,print_scan_sales,canon;1;0;;;;;"<b>Canon DR-2020U</b>\n<b>High Speed Document Scanners</b>\n\nEnhance the management of the documents in your office with the DR-2020U’s fast and easy scanning operation and versatile paper handling capabilities - helping reduce costs for business and improve profitability.\nFeatures\n\n- High-speed colour scanning at 20ppm or 40ipm (200dpi);\n- Enhanced image quality;\n- Versatile scanning - ADF, flatbed and unique business card feeder;\n- Fast and easy scanning with CaptureOnTouch software;\n- Powerful software applications included.\n\n<b>Further Information</b>\nThe easy-to-use DR-2020U offers affordable high-speed duplex scanning for small and home office users, and also for corporate business departments – without compromising on quality or features.\nA compact scanner with an attractive sleek, black design, the DR-2020U comes equipped with three versatile scanning options that make it ideal for handling a wide range of document types – from a large batch of invoices or reports to books, delicate archive records and customer business cards.\n\n<b>High-speed scanning</b>\nIncrease productivity, with high-speed duplex scanning that operates at the same speed whether your documents are black and white or colour. The DR-2020U is capable of scanning up to 20 pages per minute or 40ipm (at 200dpi) when using the automatic document feeder.\n\n<b>Enhanced image quality</b>\nAdvanced imaging features provide the highest-quality results, with features such as Punch Hole Removal, Auto Size Detection, Deskew and Advanced Text Enhancement, ensuring crisp clear images are consistently produced with a reduced file size, for faster processing. Colour Reports and photos can be perfectly captured with exceptional precision quality too using Canon’s cutting-edge 600dpi imaging sensor technology and 3-Dimensional Colour Correction processing.\n\n<b>Flexible scanning options</b>\nFor maximum versatility, users can stack up to 50 sheets in the automatic document feeder, or copy manually using the flatbed scanner. Additionally, there is a dedicated business card reader that can hold up to 15 cards for the fast batch conversion of business contact information.\n\n<b>Easy one touch operation</b>\nEven users who are unfamiliar with scanning will find the DR-2020U extremely quick and easy to operate. Its intuitive user control panel has 3 illustrated buttons for the fast and effective ‘one touch’ execution of frequent scanning tasks, such as scan-to-email, scan-to-folders and scan-to-printer. Canon’s CaptureOnTouch software further simplifies scanning, reducing errors and saving valuable time.\n\n<b>Powerful applications</b>\nIncluded with DR-2020U is a comprehensive and versatile software pack with tools for efficient and effective document capturing, editing, filing and management. Users can also now send image files directly into Microsoft SharePoint or other applications using the included PaperPort software. Other useful software provided is Canon’s CapturePerfect 3.0, BizCard, Nuance OmniPage and eCopy PDF Pro Office.\n\n<b>Money-saving energy efficiency</b>\nThe DR-2020U is Energy Star compliant, and can also be automatically switched on or off in line with the PC to which it is attached.";"DR-2020u, CCD, 1200DPI, 24-bit, CCFL, USB 2.0, 7.8kg, black/grey";;;"Canon DR DR-2020u";2011-08-14;images/10642350-3050.jpg;"287.88 USD"
10649473;scanners;scanners,print_scan_sales,ion;1;;;;;;;"FILM2SD Rapid Feeder Dia, negatief scanner PC/MAC";;;"ION Film2SD Rapid Feeder";2011-08-18;images/10649473-8098.jpg;"878.34 EUR"
