sku;family;categories;total_megapixels;maximum_video_resolution;maximum_frame_rate;weight;power_requirements;description-fr_FR-print;description-fr_FR-mobile;description-en_US-print;description-en_US-mobile;description-de_DE-print;description-de_DE-mobile;name;release_date;picture;price
10655729;webcams;webcams,cameras_sales,logitech;2;1280-x-720;30;;;;;"<b>The B525 HD webcam provides key features that offer a superior HD video calling experience at an affordable price, including 720p for HD quality imaging, autofocus for image sharpness at multiple distances, 30 fps for fluidity during the call, and excellent microphone sound quality.</b>\n\nThe unique design let's your employees swivel the camera for multiple angle view -- including the ability to move away from them if they do not want to be seen -- and has a fold-and-go design so professionals can easily store and take the camera with them.";"B525, HD webcam, 720p, 1280 x 720, 2 MP, stereo mic, USB 2.0, 88 g";;;"Logitech B525";2011-08-18;;"686.34 EUR"
10665560;webcams;webcams,cameras_sales,speed_link;;640-x-480;30;;;;;"A picture is worth a thousand words. With the SNAPPY® Smart Webcam, you will no longer be a disembodied voice on the Web: your conversation partner will see you as if in the same room. Thanks to the integrated microphone and crystal-clear VGA image quality, you will be seen and heard in high quality, whether chatting or recording video messages. With its flexible clip, the SNAPPY® can be affixed anywhere: on your desk or monitor as well as on a laptop while travelling – and thanks to the flexible headpiece, it can be adapted to any location.\n\n- USB webcam;\n- high VGA resolution of 640×480 pixels;\n- take photos at up to 8 megapixels (interpolated);\n- integrated microphone;\n- 4× digital zoom;\n- face tracking;\n- record videos at up to 30fps;\n- desk stand and fold-out monitor mount;\n- practical snapshot button;\n- rotates 360 degrees;\n- manual focus from 30mm to infinity;\n- 1.2m cable.";"SNAPPY Smart PC & Mac Webcam, 8 MP, 640×480, 30fps, 1,2m, black";"Ein Bild sagt mehr als tausend Worte. Mit der SNAPPY® Smart Webcam bleiben Sie bei der Kommunikation im Web nicht mehr gesichtslos, denn Ihr Gesprächspartner sieht Sie vor sich, als säßen Sie im gleichen Raum. Dank integrierten Mikrofons und gestochen scharfer VGA-Bildqualität sind Sie bestens zu sehen und zu hören, egal ob im Chat oder bei der Aufnahme von Videobotschaften. Mit ihrer flexiblen Klammer findet die SNAPPY® überall Halt, auf Ihrem Schreibtisch und Ihrem Monitor ebenso wie unterwegs auf dem Notebook – und dank des flexiblen Kopfes passt sie sich jeder Umgebung an.\n\n- USB-Webcam;\n- hohe VGA-Auflösung mit 640×480 Pixeln;\n- Fotoauflösung von bis zu 8 MPix (interpoliert);\n- integriertes Mikrofon;\n- 4×-Digitalzoom;\n- Face-Tracking-Funktion;\n- Videoaufnahme mit bis zu 30fps;\n- Schreibtisch-Ständer und ausklappbare Bildschirmhalterung;\n- praktische Snapshot-Taste;\n- vollständig drehbar um 360 Grad;\n- manueller Fokus von 30mm bis unendlich;\n- Kabellänge 1,2m";"SNAPPY Smart PC & Mac Webcam, 8 MP, 640×480, 30fps, 1,2m, schwarz";"Speed-Link SL-6825-BK webcam";2011-08-18;images/10665560-9122.jpg;"433.38 EUR"
10684896;webcams;webcams,cameras_sales,logitech;1.3;;;;;;;"Logitech C110. Megapixel: 1.3. Maximum image resolution: 1024 x 768, Still image resolution(s): 1024 x 768. Interface: USB, Colour of product: Black, White, Mounting type: Clip/Stand. Power source: DC. Minimum processor: 1.6GHz";"Logitech C110, 1.3, 1024 x 768, 1024 x 768, USB, Black, White, Clip/Stand";"Dank Plug&Play-Einrichtung, VGA-Videoqualität und integriertem Mikrofon ist es mit dieser Webcam ein Kinderspiel, Videogespräche zu führen und Fotos (1.3MP) zu verschicken.\n\n<b>Plug&Play-Installation, einfache Bedienung</b>\nDank der einfachen Plug&Play-Installation können Sie schnell Videogespräche führen – über die meisten Instant Messenger und Logitech Vid HD.\n\n<b>Klar verständliche Videogespräche</b>\nDank VGA-Sensor sehen Ihre Familie und Freunde Sie bei Gesprächen in realistischen Farben.\n\n<b>Fotos mit 1.3 Megapixeln</b>\nSie können auch ganz einfach Schnappschüsse mit bis zu 1.3 Megapixeln aufnehmen (Software-interpoliert).\n\n<b>XVGA-Videoaufnahmen</b>\nLebendige, farbenfrohe Videoaufnahmen in XVGA-Auflösung (1024 x 768), die Sie mit Ihren Freunden, Ihrer Familie oder der ganzen Welt teilen können – auf Facebook, YouTube, Twitter oder in Ihrem Blog.\n\n<b>Integriertes Mikrofon mit RightSound</b>\nKlar verständliche Gespräche ohne störende Hintergrundgeräusche.\n\n<b>Universalhalterung</b>\nBefestigen Sie Ihre Webcam sicher am Notebook oder LCD-Monitor oder stellen Sie sie ins Regal oder auf den Schreibtisch.";"1.3MP Webcam, 1024 x 768, Logitech Vid HD, USB2.0";"Logitech C110";2011-08-19;;"949.58 USD"
10699515;webcams;webcams,cameras_sales,trust;1.3;1280-x-720;;;;"Webcam HD USB 2.0 avec capteur 1 mégapixels et résolution photographique jusqu'à 4 mégapixels (2560 x 1440). Compatible HD Ready 720 p (1280 x 720) pour les discussions en ligne et la diffusion vidéo en haute qualité sur YouTube. LED puissantes intégrées pour améliorer la qualité des images dans les environnements sombres. Logiciel d'enregistrement vidéo HD fourni avec un bouton spécial permettant de charger des vidéos sur Youtube d'un seul clic. Convient parfaitement aux discussions en ligne avec MSN/Live Messenger, Skype, etc. : il suffit de la brancher pour l'utiliser immédiatement. Système intégré pour fixer la webcam à l'écran de votre ordinateur portable, à votre écran plat de bureau ou à n'importe quelle surface plane. Microphone intégré pour une meilleure qualité sonore. ";"Webcam HD USB 2.0 avec capteur 1 mégapixels et résolution photographique jusqu'à 4 mégapixels (2560 x 1440)";"USB 2.0 HD webcam with 1 megapixel sensor and up to 4 megapixel (2560 x 1440) photo resolution. Supports HD ready 720p (1280 x 720) for high quality video chatting and Youtube video broadcasting. Powerful integrated LED lights for enhanced image quality in low-light environment. Including widescreen HD video recording software with special button to upload videos to Youtube with one simple click. Also perfect to chat using MSN/Live Messenger, Skype etc: just plug in and start. Integrated clamping system to attach the webcam to your notebook screen, flat panel display or place on flat surfaces. Built-in microphone for clear sound quality. ";"USB 2.0 HD webcam with 1 megapixel sensor and up to 4 megapixel (2560 x 1440) photo resolution";"USB 2.0-HD-Webcam mit 1 Megapixel Sensorauflösung und bis zu 4 Megapixel (2560 x 1440) Fotoauflösung. Unterstützung der HD-fähigen Breitbildauflösung 720p (1280 x 720) für Video-Chat und YouTube-Videowiedergabe in höchster Qualität. Leistungsstarke integrierte LED-Beleuchtung für verbesserte Bildqualität bei schlechten Lichtverhältnissen. Einschließlich Software für HD-Videoaufnahmen im Breitbildformat mit spezieller Schaltfläche zum Hochladen von Videos auf YouTube mit nur einem Klick. Ebenfalls ideal zum Chatten mit MSN/Live Messenger, Skype usw. – einfach anschließen und starten. Eingebautes Klemmsystem zum Befestigen der Webcam an Notebook-Bildschirmen, Flachbildschirmen oder zum Aufstellen auf glatten Oberflächen. Integriertes Mikrofon für klare Klangqualität. ";"USB 2.0-HD-Webcam mit 1 Megapixel Sensorauflösung und bis zu 4 Megapixel (2560 x 1440) Fotoauflösung";"Trust eLight HD 720p";2011-08-20;images/15743_10699515-Trust.jpg;"546.19 EUR,427.11 USD"
10717514;webcams;webcams,cameras_sales,trust;;1280-x-720;;;;"Webcam HD USB 2.0 avec capteur 1 mégapixels et résolution photographique jusqu'à 4 mégapixels (2560 x 1440). Compatible HD Ready 720 p (1280 x 720) pour les discussions en ligne et la diffusion vidéo en haute qualité sur YouTube. Logiciel d'enregistrement vidéo HD fourni avec un bouton spécial permettant de charger des vidéos sur Youtube d'un seul clic. Convient parfaitement aux discussions en ligne avec MSN/Live Messenger, Skype, etc. : il suffit de la brancher pour l'utiliser immédiatement. Système intégré pour fixer la webcam à l'écran de votre ordinateur portable, à votre écran plat de bureau ou à n'importe quelle surface plane. Microphone intégré pour une meilleure qualité sonore. ";"Webcam HD USB 2.0 avec capteur 1 mégapixels et résolution photographique jusqu'à 4 mégapixels (2560 x 1440)";"USB 2.0 HD webcam with 1 megapixel sensor and up to 4 megapixel (2560 x 1440) photo resolution. Supports HD ready 720p (1280 x 720) for high quality video chatting and Youtube video broadcasting. Including widescreen HD video recording software with special button to upload videos to Youtube with one simple click. Also perfect to chat using MSN/Live Messenger, Skype etc: just plug in and start. Integrated clamping system to attach the webcam to your notebook screen, flat panel display or place on flat surfaces. Built-in microphone for clear sound quality. ";"USB 2.0 HD webcam with 1 megapixel sensor and up to 4 megapixel (2560 x 1440) photo resolution";"USB 2.0-HD-Webcam mit 1 Megapixel Sensorauflösung und bis zu 4 Megapixel (2560 x 1440) Fotoauflösung. Unterstützung der HD-fähigen Breitbildauflösung 720p (1280 x 720) für Video-Chat und YouTube-Videowiedergabe in höchster Qualität. Einschließlich Software für HD-Videoaufnahmen im Breitbildformat mit spezieller Schaltfläche zum Hochladen von Videos auf YouTube mit nur einem Klick. Ebenfalls ideal zum Chatten mit MSN/Live Messenger, Skype usw. – einfach anschließen und starten. Eingebautes Klemmsystem zum Befestigen der Webcam an Notebook-Bildschirmen, Flachbildschirmen oder zum Aufstellen auf glatten Oberflächen. Integriertes Mikrofon für klare Klangqualität. ";"USB 2.0-HD-Webcam mit 1 Megapixel Sensorauflösung und bis zu 4 Megapixel (2560 x 1440) Fotoauflösung";"Trust Nium HD 720p Webcam";2011-08-24;images/15743_10717514-Trust.jpg;"738.59 EUR,200.68 USD"
107188;webcams;webcams,cameras_sales,conceptronic;;;30;;;;;"<b>Chatting and see eachother through the internet with this Funcam.</b>\nChatting and see eachother through the internet with this Funcam. This webcam is compatible with all messenger and chat applications. It is very easy to connect and install the camera. The webcam can be used in 2 different ways: for desktop use by using the included foot or for notebook/TFT screen use by clicking the camera on the notebook or TFT monitor.   \n";Funcam;"Chatten sie und sehen sie einander dabei über das Internet mit der Funcam. Diese Webcam ist mit allen Messenger- und Chat-Applikationen kompatibel. Die Kamera ist leicht zu verbinden und zu installieren. Die Webcam kann auf zwei unterschiedliche Arten genutzt werden: Für den Desktop am festen Arbeitsplatz, indem man den mitgelieferten Fuß benutzt oder für den Notebook/TFT-Monitor, indem man die Kamera bei dem Notebook oder TFT-Monitor einklickt.\n\n- Kompatibel mit allen Messenger- und Chat-Anwendungen. \n- Für Videoclip- und Fotoaufnahmen. \n- Schnappschuss-Taste für Fotos. \n- Inklusive Software.";Funcam;"Conceptronic Funcam";2005-07-15;images/107188-4429.jpg;"680.06 EUR,102.91 USD"
10734349;webcams;webcams,cameras_sales,logitech;2;1280-x-720;30;;;;;"<b>Works well with others</b>\nThe B525 not only is plug-and-play for use in your favorite UVC compliant video software, but also optimized for Microsoft Lync and certified for Skype.\n\n<b>Premium HD quality with autofocus</b>\n720p HD up to 30 fps with autofocus -- images stay razor sharp in high definition, even in close-ups (up to 10 cm from the camera lens).\n\n<b>True 2.0-megapixel sensor with RightLight™ 2 technology</b>\nMaintain high quality image calling even in offices or conference rooms with lower lighting.\n\n<b>Loud and clear</b>\nBuilt-in mics with stereo audio ensures the sound quality is clear during professional conferencing.\n\n<b>3-year limited hardware warranty</b>\nLogitech for Business supports the needs of businesses with extended warranty.\n\n<b>Design advantages for business</b>\nWith the 360° swivel, easily position the camera at multiple angles whether for single party or multi-party calling. And if you don’t want to be seen, swivel the camera away from you for privacy.\n\n<b>Fold-and-go for ultimate mobility</b>\nIntegrated fold-and-go design let’s you easily pack the camera and take it with you without needing a separate case – perfect for the busy professional on the go.\n\n<b>True plug and play</b>\nJust plug in the Logitech B525 HD Webcam and start up your application to begin video calling.\n\n<b>Universal clip</b>\nFits your LCD monitor or laptop wherever you work.";"B525 HD - 1280 x 720, USB 2.0, 1.5m, 88g";;;"Logitech B525 HD";2011-08-27;;"362.47 EUR,986.15 USD"
1077528;webcams;webcams,cameras_sales,d_link;;640-x-480;30;;;;;"D-Link is pleased to introduce the D-Link SECURICAM Network™ DCS-950 Internet Network Camera, a full-featured surveillance system that connects to an Ethernet broadband network to provide remote high-quality audio and video.\n\nYou can access and control the DCS-950 Internet Network Camera using Internet Explorer version 6. As you watch and listen remotely to video and sound obtained by the DCS-950, you can take snapshots or record directly from the Web browser to a local hard drive without installing any software, making it ideal for capturing any moment no matter where you are.\n\nGet even more recording flexibility. Now you can configure the DCS-950 to record to network-attached storage (NAS), eliminating the need to set up a dedicated computer for storing recorded video.\n\nThe DCS-950 also works great with D-Link's MediaLounge™ family of networking products, including the award-winning DSM-320 Wireless Media Player. After setting up the DCS-950 to record to your PC's hard drive or a network-attached storage, captured video can be wirelessly streamed to the DSM-320 and displayed on your TV screen! Now you can see what took place throughout the rest of your home - all from the comfort of your living room.\n\nWith 0.5 lux light sensitivity, the DCS-950 is capable of capturing video in rooms with minimal lighting, making it ideal for use at night time.\n\nThe DCS-950 Internet Network Camera adheres to the Universal Plug & Play (UPnP™) specification which allows computers running Windows® XP/Me to recognize the DCS-950 and automatically add it to the network. The DCS-950 can be accessed and viewed from “My Network Places” as a device on the network.\n\nBy signing up with one of the many free Dynamic DNS services available on the Web, you can assign an easy-to-remember name and domain to the camera (e.g. www.mycamera.myddns.com). This allows you to remotely access your camera without having to remember the IP address, even if it has been changed by your Internet Service Provider.\n\nEverything needed to get started is included with the DCS-950 Internet Camera. Simple installation procedures, along with the built-in Web-based interface offer easy integration into your network environment. Powerful surveillance software is included to enhance the monitoring and management for multiple cameras, allowing you to archive video straight to the hard drive, playback video, monitor up to four cameras on a single screen, and set up motion detection to trigger video/audio recording and send e-mail alerts. The DCS-950 Internet Network Camera is a cost-effective and versatile security solution for your home or business.";"10/100 Fast Ethernet Internet Camera";;;"D-Link DCS-950 webcam";2007-08-09;images/1077528-8809.jpg;"44.06 EUR,563.19 USD"
1077543;webcams;webcams,cameras_sales,d_link;;;30;;;;;"D-Link, a leading provider of wired and wireless IP Cameras, introduces the DCS-6620 10x Optical Zoom Internet Camera. Featuring dual codec support, a 10x optical zoom lens, built-in microphone, and low-light sensitivity, the DCS-6620 is the ultimate remote monitoring solution for your security needs.\n\nThe DCS-6620 features motorized pan, tilt, and optical/digital zoom (PTZ), giving you greater remote viewing options. With a 10x optical zoom auto focus/auto iris lens, get greater clarity from your recordings than digital zoom alone. The 10x optical zoom lens delivers the level of detail necessary to identify people, license plate numbers, and other important details that are difficult to clearly view with digital zoom.\n\nWith support for both Motion JPEG and MPEG-4 recording, the DCS-6620 is well suited for various recording scenarios. Motion JPEG delivers greater file integrity, making it ideal for critical monitoring situations. MPEG-4 video has smaller file sizes, making it more useful for extended recording periods or for use in low bandwidth networks.\n\nThe DCS-6620 supports 2-Way Audio with its built-in microphone and A/V port*. Attach a speaker to the A/V port1 and remotely communicate with subjects near the camera. An ideal location to use the 2-Way Audio feature includes point-of-entry areas, where you might want to identify a person before granting access.\n\nWith the ability to record video in low light settings, the DCS-6620 can provide exceptional nighttime surveillance. Extreme low light sensitivity of .05 Lux enables recording in near total darkness.\n\nYou can remotely monitor your camera using a Web-based interface or through the included D-Link IP surveillance software. The Web-based interface allows up to 10 simultaneous users to view the live feed from the camera. Using the feature-rich IP surveillance software, monitor and manage up to 16 cameras, set recording schedules, configure motion detection settings, and change settings on a single or multiple cameras.\n\nEnjoy greater peace of mind with high quality security solutions from the SECURICAM Network series of Internet Cameras. The DCS-6620 offers maximum versatility for all monitoring situations, making it a smart investment for your security needs.\n\n<i>* Audio Out from the A/V port is for connecting a speaker to the camera so that a person in front of the camera can hear the person at the other end. Video Out from the A/V port is for connecting to a TV for viewing the camera’s video feed or VCR for recording purposes.</i>";"10/100 Internet Camera, Pan/Tilt/Zoom, 10x Optical Zoom, Dual Codec, 0.05Lux";;;"D-Link DCS-6620 webcam";2007-08-09;images/1077543-993.jpg;"46.26 EUR"
1077546;webcams;webcams,cameras_sales,d_link;;320-x-240;30;;;;;"Remotely watch and listen with the D-Link Securicam NetworkTM DCS-5300 Internet Camera. The DCS-5300 Internet Camera is a full-featured surveillance system that connects to an Ethernet or Fast Ethernet connection to provide high quality video and audio over the Intranet or the Internet.\n\nThe DCS-5300 Internet Camera differs from a conventional PC Camera because the DCS-5300 is a stand-alone device with a built-in CPU and Web server that allows you to access your camera using Internet Explorer 5.X or above from anywhere in the world.\n\nThe D-Link DCS-5300 Internet Camera also has a pan, tilt, and digital zoom function that can be controlled from the Web interface or from the included remote control. Auto pan mode enables the camera to move 270 degrees horizontally and the Patrol mode cycles through up to 20 preset positions. The speed of either pan or tilt can be adjusted to your preference. The 4x digital zoom lens enables the camera to obtain a closer view.\n\nThe D-Link DCS-5300 Internet Camera comes with a CCD sensor that provides a sharp and clear image with life-like color representation. The sensor is a CCD sensor with resolution of 380 TV lines. The built-in microphone adds sound that accompanies the video. Altogether, you can record streaming video with sound that utilizes high quality MPEG4 Short Header Mode Compression to your hard drive, enable motion detection, and set up automated e-mail alert notification.\n\nA powerful surveillance software is included to enhance the monitoring and management of your DCS-5300. The bundled surveillance software further enhances the security features of the DCS-5300, allowing you to archive streaming video and audio straight to your hard drive, playback video, monitor as many as 16 cameras on a single screen, and set up motion detection to trigger automatic recording.\n\nBy signing up with one of the many Dynamic DNS services, you can assign an easy-to-remember name and domain (e.g. www.mycamera.myddns.com). This allows you to remotely access your camera without having to remember the IP address, even if it has been changed by your Internet Service Provider.\n\nThe DCS-5300 Internet Camera is a Price/Performance breakthrough, feature rich solution capable of meeting demanding security and home/office monitoring needs. Secure your site with the D-Link Securicam DCS-5300 Internet Camera.";"10/100 Fast Ethernet Internet Camera";;;"D-Link DCS-5300 webcam";2007-08-09;images/1077546-3927.jpg;"985.46 EUR,780.9 USD"
